	faith_pd
1788.mck772Post.10Buma.10	17.841873081710006
1788.mck266Post.1Buma.1	14.613886005180001
1788.mck311Post.2Raca.3	12.356765464729996
1788.mck768Post.10Buma.6	20.414007445720003
1788.mck520Post.5Osse.7	27.429401258859997
1788.mck30Pre.1Rapi.9	11.90127514271
1788.mck69Pre.2Rapi.5	18.54917806068
1788.mck771Post.10Buma.9	17.36243977596
1788.mck767Post.10Buma.5	16.173228895530002
1788.mck702Post.9Buma.5	22.383610718339998
1788.mck26Pre.1Rapi.5	11.046487134412999
1788.mck84Pre.2Bubo.8	9.34993385007
1788.mck790Post.11Bubo.6	9.166836319340002
1788.mck108Pre.3Buma.2	16.039232600320002
1788.mck310Post.2Raca.2	15.966660811159999
1788.mck807Post.10Control.Mold	14.462506850619999
1788.mck198Pre.3Osse.6	13.238680976690004
1788.mck243Pre.5Bubo.8	9.551342241019999
1788.mck366Post.3Raca.5	17.97078017458
1788.mck61Pre.2Buma.8	24.381716150969993
1788.mck787Post.11Bubo.2	11.42095661316
1788.mck697Post.9Raca.10	24.872861779680008
1788.mck331Post.2Rapi.2	12.309119353209999
1788.mck45Pre.2Raca.2	19.355439362640006
1788.mck166Pre.4Buma.7	13.91694764341
1788.mck48Pre.2Raca.5	15.417472695729998
1788.mck348Post.2Bubo.7	11.47171107058
1788.mck88Pre.1Osse.2	8.89252255939
1788.mck196Pre.3Osse.4	12.592700276330001
1788.mck796Post.10Osse.3	21.626537544349997
1788.mck118Pre.3Rapi.1	9.898345757619998
1788.mck468Post.4Osse.8	14.315788022597003
1788.mck349Post.2Bubo.8	9.63116854984
1788.mck231Pre.5Rapi.8	9.51186913586
1788.mck93Pre.1Osse.7	11.661959058350002
1788.mck185Pre.4Bubo.3	11.44576933506
1788.mck315Post.2Raca.7	18.217590559850002
1788.mck217Pre.5Buma.5	18.133699299939998
1788.mck558Post.6Bubo.2	18.061362702329994
1788.mck572Post.6Osse.6	15.515319457652
1788.mck733Post.9Osse.4	13.401098943361998
1788.mck227Pre.5Rapi.4	9.623155187679998
1788.mck469Post.4Osse.9	15.666024715089995
1788.mck534Post.6Buma.1	20.832216012550003
1788.mck308Post.1Osse.10	9.913387823329996
1788.mck219Pre.5Buma.7	15.046729763869997
1788.mck169Pre.4Buma.10	15.945452824450001
1788.mck314Post.2Raca.6	12.194431134590003
1788.mck422Post.4Raca.5	13.091766845339999
1788.mck518Post.5Osse.5	13.40689177412
1788.mck559Post.6Bubo.3	11.39695082782
1788.mck573Post.6Osse.7	25.955440141051998
1788.mck102Pre.3Raca.6	17.353251951510003
1788.mck224Pre.5Rapi.1	24.497247960066
1788.mck776Post.10Rapi.3	8.755906773409999
1788.mck147Pre.2Osse.8	11.462027123650001
1788.mck113Pre.3Buma.7	16.100678895370006
1788.mck521Post.5Osse.8	22.59487603089
1788.mck178Pre.4Rapi.8	10.899626513590004
1788.mck770Post.10Buma.8	16.662997291739998
1788.mck123Pre.3Rapi.6	9.825520201330002
1788.mck766Post.10Buma.4	19.713186853420005
1788.mck438Post.4Buma.11	15.4992243325
1788.mck208Pre.5Raca.6	14.517065206090003
1788.mck326Post.2Buma.8	20.385086025869995
1788.mck570Post.6Osse.4	16.583214357282
1788.mck335Post.2Rapi.6	11.177612959549998
1788.mck769Post.10Buma.7	16.58028577825
1788.mck42Pre.1Bubo.9	15.273913308876
1788.mck257Post.1Raca.2	9.28946531332
1788.mck678Post.8Osse.1	13.939758635492003
1788.mck536Post.6Buma.3	21.651532612669996
1788.mck206Pre.5Raca.4	19.161631855500005
1788.mck120Pre.3Rapi.3	13.385554775220001
1788.mck327Post.2Buma.9	18.61406194057
1788.mck745Post.10Bubo.2	10.197150101862002
1788.mck571Post.6Osse.5	13.056522732499998
1788.mck210Pre.5Raca.8	17.99855991599
1788.mck784Post.10Rapi.11	18.057733000249996
1788.mck18Pre.1Buma.8	15.788077538349999
1788.mck658Post.8Rapi.2	13.29094127634
1788.mck5Pre.1Raca.5	18.709673989210003
1788.mck141Pre.2Osse.2	10.17875934373
1788.mck460Post.4Bubo.10	9.575361280860001
1788.mck707Post.9Buma.10	17.681235288399996
1788.mck239Pre.5Bubo.4	12.984689925069999
1788.mck392Post.3Rapi.10	8.438645166853
1788.mck216Pre.5Buma.4	15.371604962710002
1788.mck671Post.8Bubo.3	11.439886742240002
1788.mck402Post.3Bubo.8	11.37885383865
1788.mck380Post.3Buma.9	16.696047194000002
1788.mck465Post.4Osse.5	10.781384481039996
1788.mck11Pre.1Buma.1	19.2346176929
1788.mck387Post.3Rapi.5	11.090643471619998
1788.mck92Pre.1Osse.6	6.761622185519998
1788.mck129Pre.3Rapi.12	11.047390727460003
1788.mck184Pre.4Bubo.2	9.053100352719998
1788.mck758Post.10Raca.6	14.894526295119999
1788.mck780Post.10Rapi.7	17.45343579093999
1788.mck781Post.10Rapi.8	17.688376105261998
1788.mck60Pre.2Buma.7	22.49116996697
1788.mck242Pre.5Bubo.7	14.424003819940003
1788.mck103Pre.3Raca.7	22.426911186839998
1788.mck685Post.8Osse.8	18.229529105079994
1788.mck171Pre.4Rapi.1	18.10203368442
1788.mck167Pre.4Buma.8	19.803405644109997
1788.mck670Post.8Bubo.2	16.852175047672006
1788.mck403Post.3Bubo.9	13.328325260109999
1788.mck386Post.3Rapi.4	12.933575095730001
1788.mck757Post.10Raca.5	15.900740122389998
1788.mck138Pre.3Bubo.9	12.421199916556
1788.mck218Pre.5Buma.6	15.32944757171
