	observed_otus
1788.mck772Post.10Buma.10	132
1788.mck266Post.1Buma.1	83
1788.mck311Post.2Raca.3	76
1788.mck768Post.10Buma.6	154
1788.mck520Post.5Osse.7	198
1788.mck30Pre.1Rapi.9	81
1788.mck69Pre.2Rapi.5	114
1788.mck771Post.10Buma.9	115
1788.mck767Post.10Buma.5	104
1788.mck702Post.9Buma.5	178
1788.mck26Pre.1Rapi.5	75
1788.mck84Pre.2Bubo.8	68
1788.mck790Post.11Bubo.6	47
1788.mck108Pre.3Buma.2	127
1788.mck310Post.2Raca.2	106
1788.mck807Post.10Control.Mold	113
1788.mck198Pre.3Osse.6	89
1788.mck243Pre.5Bubo.8	63
1788.mck366Post.3Raca.5	126
1788.mck61Pre.2Buma.8	177
1788.mck787Post.11Bubo.2	69
1788.mck697Post.9Raca.10	156
1788.mck331Post.2Rapi.2	66
1788.mck45Pre.2Raca.2	122
1788.mck166Pre.4Buma.7	98
1788.mck48Pre.2Raca.5	106
1788.mck348Post.2Bubo.7	69
1788.mck88Pre.1Osse.2	65
1788.mck196Pre.3Osse.4	83
1788.mck796Post.10Osse.3	130
1788.mck118Pre.3Rapi.1	59
1788.mck468Post.4Osse.8	102
1788.mck349Post.2Bubo.8	59
1788.mck231Pre.5Rapi.8	59
1788.mck93Pre.1Osse.7	74
1788.mck185Pre.4Bubo.3	64
1788.mck315Post.2Raca.7	107
1788.mck217Pre.5Buma.5	144
1788.mck558Post.6Bubo.2	106
1788.mck572Post.6Osse.6	107
1788.mck733Post.9Osse.4	72
1788.mck227Pre.5Rapi.4	62
1788.mck469Post.4Osse.9	109
1788.mck534Post.6Buma.1	155
1788.mck308Post.1Osse.10	74
1788.mck219Pre.5Buma.7	109
1788.mck169Pre.4Buma.10	112
1788.mck314Post.2Raca.6	87
1788.mck422Post.4Raca.5	91
1788.mck518Post.5Osse.5	90
1788.mck559Post.6Bubo.3	76
1788.mck573Post.6Osse.7	180
1788.mck102Pre.3Raca.6	117
1788.mck224Pre.5Rapi.1	157
1788.mck776Post.10Rapi.3	38
1788.mck147Pre.2Osse.8	92
1788.mck113Pre.3Buma.7	112
1788.mck521Post.5Osse.8	150
1788.mck178Pre.4Rapi.8	77
1788.mck770Post.10Buma.8	124
1788.mck123Pre.3Rapi.6	63
1788.mck766Post.10Buma.4	132
1788.mck438Post.4Buma.11	105
1788.mck208Pre.5Raca.6	103
1788.mck326Post.2Buma.8	162
1788.mck570Post.6Osse.4	102
1788.mck335Post.2Rapi.6	74
1788.mck769Post.10Buma.7	109
1788.mck42Pre.1Bubo.9	96
1788.mck257Post.1Raca.2	64
1788.mck678Post.8Osse.1	89
1788.mck536Post.6Buma.3	146
1788.mck206Pre.5Raca.4	112
1788.mck120Pre.3Rapi.3	98
1788.mck327Post.2Buma.9	122
1788.mck745Post.10Bubo.2	58
1788.mck571Post.6Osse.5	83
1788.mck210Pre.5Raca.8	115
1788.mck784Post.10Rapi.11	114
1788.mck18Pre.1Buma.8	135
1788.mck658Post.8Rapi.2	79
1788.mck5Pre.1Raca.5	114
1788.mck141Pre.2Osse.2	68
1788.mck460Post.4Bubo.10	60
1788.mck707Post.9Buma.10	120
1788.mck239Pre.5Bubo.4	82
1788.mck392Post.3Rapi.10	48
1788.mck216Pre.5Buma.4	118
1788.mck671Post.8Bubo.3	72
1788.mck402Post.3Bubo.8	60
1788.mck380Post.3Buma.9	100
1788.mck465Post.4Osse.5	77
1788.mck11Pre.1Buma.1	136
1788.mck387Post.3Rapi.5	74
1788.mck92Pre.1Osse.6	57
1788.mck129Pre.3Rapi.12	73
1788.mck184Pre.4Bubo.2	58
1788.mck758Post.10Raca.6	93
1788.mck780Post.10Rapi.7	96
1788.mck781Post.10Rapi.8	99
1788.mck60Pre.2Buma.7	156
1788.mck242Pre.5Bubo.7	94
1788.mck103Pre.3Raca.7	134
1788.mck685Post.8Osse.8	140
1788.mck171Pre.4Rapi.1	118
1788.mck167Pre.4Buma.8	145
1788.mck670Post.8Bubo.2	86
1788.mck403Post.3Bubo.9	85
1788.mck386Post.3Rapi.4	86
1788.mck757Post.10Raca.5	110
1788.mck138Pre.3Bubo.9	75
1788.mck218Pre.5Buma.6	132
1788.mck345Post.2Bubo.4	84
1788.mck464Post.4Osse.4	84
1788.mck720Post.9Rapi.12	234
1788.mck505Post.5Bubo.2	59
1788.mck291Post.1Bubo.3	62
1788.mck130Pre.3Bubo.1	68
1788.mck209Pre.5Raca.7	127
1788.mck179Pre.4Rapi.9	69
1788.mck150Pre.4Raca.1	185
1788.mck467Post.4Osse.7	111
1788.mck112Pre.3Buma.6	147
1788.mck290Post.1Bubo.2	72
1788.mck29Pre.1Rapi.8	69
1788.mck646Post.8Buma.1	136
1788.mck680Post.8Osse.3	119
1788.mck4Pre.1Raca.4	157
1788.mck133Pre.3Bubo.4	65
1788.mck655Post.8Buma.10	131
1788.mck19Pre.1Buma.9	154
1788.mck161Pre.4Buma.2	160
1788.mck153Pre.4Raca.4	138
1788.mck347Post.2Bubo.6	41
1788.mck376Post.3Buma.5	162
1788.mck461Post.4Osse.1	108
1788.mck383Post.3Rapi.1	141
1788.mck618Post.7Bubo.6	57
1788.mck432Post.4Buma.5	132
1788.mck278Post.1Rapi.2	60
1788.mck517Post.5Osse.4	102
1788.mck502Post.5Rapi.11	111
1788.mck107Pre.3Buma.1	132
1788.mck524Post.6Raca.1	38
1788.mck38Pre.1Bubo.5	160
1788.mck109Pre.3Buma.3	184
1788.mck85Pre.2Bubo.9	63
1788.mck619Post.7Bubo.7	77
1788.mck55Pre.2Buma.2	115
1788.mck279Post.1Rapi.3	73
1788.mck10Pre.1Raca.10	87
1788.mck58Pre.2Buma.5	140
1788.mck35Pre.1Bubo.2	98
1788.mck674Post.8Bubo.6	42
1788.mck68Pre.2Rapi.4	44
1788.mck404Post.3Bubo.10	41
1788.mck116Pre.3Buma.10	137
1788.mck303Post.1Osse.5	92
1788.mck756Post.10Raca.4	130
1788.mck463Post.4Osse.3	84
1788.mck624Post.7Osse.2	300
1788.mck170Pre.4Buma.11	86
1788.mck295Post.1Bubo.7	60
1788.mck427Post.4Raca.10	199
1788.mck43Pre.1Bubo.10	95
1788.mck526Post.6Raca.3	100
1788.mck146Pre.2Osse.7	149
1788.mck199Pre.3Osse.7	77
1788.mck302Post.1Osse.4	71
1788.mck759Post.10Raca.7	157
1788.mck230Pre.5Rapi.7	112
1788.mck117Pre.3Buma.11	138
1788.mck197Pre.3Osse.5	71
1788.mck89Pre.1Osse.3	69
1788.mck462Post.4Osse.2	116
1788.mck343Post.2Bubo.2	52
1788.mck372Post.3Buma.1	125
1788.mck294Post.1Bubo.6	37
1788.mck684Post.8Osse.7	178
1788.mck251Pre.4Osse.6	86
1788.mck625Post.7Osse.3	95
1788.mck793Post.11Bubo.10	93
1788.mck350Post.2Bubo.9	88
1788.mck393Post.3Rapi.11	32
1788.mck797Post.10Osse.4	78
1788.mck599Post.7Buma.10	141
1788.mck677Post.8Bubo.10	77
1788.mck779Post.10Rapi.6	157
1788.mck223Pre.5Buma.11	143
1788.mck492Post.5Rapi.1	68
1788.mck451Post.4Bubo.1	62
1788.mck173Pre.4Rapi.3	93
1788.mck542Post.6Buma.9	126
1788.mck323Post.2Buma.5	137
1788.mck101Pre.3Raca.5	101
1788.mck240Pre.5Bubo.5	74
1788.mck551Post.6Rapi.7	104
1788.mck805Post.10Control.Holtfreter	23
1788.mck428Post.4Buma.1	118
1788.mck575Post.6Osse.9	160
1788.mck628Post.7Osse.6	93
1788.mck486Post.5Buma.6	122
1788.mck23Pre.1Rapi.2	76
1788.mck236Pre.5Bubo.1	65
1788.mck13Pre.1Buma.3	148
1788.mck90Pre.1Osse.4	52
1788.mck806Post.10Control.Crickets	243
1788.mck544Post.6Buma.11	138
1788.mck222Pre.5Buma.10	104
1788.mck487Post.5Buma.7	96
1788.mck286Post.1Rapi.10	72
1788.mck322Post.2Buma.4	121
1788.mck550Post.6Rapi.6	128
1788.mck574Post.6Osse.8	267
1788.mck585Post.7Raca.6	88
1788.mck711Post.9Rapi.3	101
1788.mck614Post.7Bubo.2	52
1788.mck53Pre.2Raca.10	127
1788.mck484Post.5Buma.4	139
1788.mck528Post.6Raca.5	122
1788.mck426Post.4Raca.9	140
1788.mck453Post.4Bubo.3	62
1788.mck543Post.6Buma.10	130
1788.mck6Pre.1Raca.6	112
1788.mck381Post.3Buma.10	39
1788.mck615Post.7Bubo.3	76
1788.mck710Post.9Rapi.2	179
1788.mck785Post.10Rapi.12	88
1788.mck110Pre.3Buma.4	147
1788.mck360Post.2Osse.9	83
1788.mck485Post.5Buma.5	167
1788.mck132Pre.3Bubo.3	72
1788.mck730Post.9Osse.1	113
1788.mck737Post.9Osse.8	110
1788.mck452Post.4Bubo.2	67
1788.mck299Post.1Osse.1	95
1788.mck496Post.5Rapi.5	47
1788.mck455Post.4Bubo.5	64
1788.mck275Post.1Buma.10	83
1788.mck482Post.5Buma.2	118
