SampleID	Bd_load	Bd_load_sd	Bd_load2	Bd_load_sd2	PABD	species	indiv	prepost	Bd_exposure	indivID	time	orig_contam	observed_otus	chao1	shannon	faith_pd	dist_braycurtis	dist_unweighted_unifrac	dist_weighted_unifrac	disper_braycurtis	disper_unweighted_unifrac	disper_weighted_unifrac	inhibRich	percInhib	NMDS1_braycurtis	NMDS1_unweighted_unifrac	NMDS1_weighted_unifrac	NMDS2_braycurtis	NMDS2_unweighted_unifrac	NMDS2_weighted_unifrac	NMDS_stress_braycurtis	NMDS_stress_unweighted_unifrac	NMDS_stress_weighted_unifrac	mass_g
1788.mck224Pre.5Rapi.1	0	0	0	0	0	Rapi	1	Pre	Bd-exposed	Rapi_1	5	1	157	180.619047619048	3.99356256463417	24.497247960066	0.4896	0.577775332563195	0.208259301187768	0.374340359915584	0.469602753250144	0.177571422047784	13	0.4627	-0.160821463360944	-0.181372506084617	0.0999668997995312	0.163502025773582	0.769150140428277	0.0254946518108181	28.2435767413032	22.4601025692088	18.6125584250713	27
1788.mck714Post.9Rapi.6	0	0	0	0	0	Rapi	6	Post	Control	Rapi_6	14	0	108	131.1	3.83391257352938	17.27957243721	0.4358	0.496762681169054	0.211208366086821	0.346467389305042	0.432743649628173	0.142009998483437	10	0.2545	-0.210587924283862	-0.102924755612129	0.100245808403599	0.258692596419736	0.295682671554861	0.00264156913381282	28.2435767413032	22.4601025692088	18.6125584250713	29
1788.mck164Pre.4Buma.5	0	0	0	0	0	Rhma	5	Pre	Control	Rhma_5	4	0	133	181	4.70928091050219	16.77143179348	0.3421	0.34552124857966	0.127119938794454	0.392076993935571	0.317368088298147	0.142308201035095	10	0.2134	-0.186998160879928	-0.278987366872515	-0.17669437588591	-0.364964700494838	0.0624238578252376	-0.0241698164228524	28.2435767413032	22.4601025692088	18.6125584250713	102
1788.mck276Post.1Buma.11	0	0	0	0	0	Rhma	11	Post	Bd-exposed	Rhma_11	6	1	132	177.111111111111	4.41340398062298	17.76083125586	0.5221	0.29608781177963	0.212432015962358	0.350190579400458	0.317514536365732	0.13630847820429	12	0.1621	-0.30681212797954	-0.33165431544799	-0.144342900618029	-0.259617320794813	-0.117891061044986	0.0326254841120312	28.2435767413032	22.4601025692088	18.6125584250713	100
1788.mck755Post.10Raca.3	0	0	0	0	0	Raca	3	Post	Bd-exposed	Raca_3	16	0	198	279.617647058824	3.30596978818103	28.672482362742	NA	NA	NA	0.434829254413531	0.40350437385379	0.338992476915638	16	0.4462	-0.00148103814517903	-0.634110242627753	0.31086372351801	0.346238121441174	0.426925873122146	0.244997101644895	28.2435767413032	22.4601025692088	18.6125584250713	88
1788.mck801Post.10Osse.8	0	0	0	0	0	Osse	8	Post	Control	Osse_8	16	0	80	82.5	4.48077995906588	12.92229070597	NA	NA	NA	0.512689161307754	0.453508571818673	0.223372514534392	8	0.2045	-0.0368151404898421	-0.106507581962247	0.0357526085517789	0.369126134286884	-0.631375105604769	-0.189916196728881	28.2435767413032	22.4601025692088	18.6125584250713	20
1788.mck640Post.8Raca.5	0	0	0	0	0	Raca	5	Post	Bd-exposed	Raca_5	13	0	133	161.275862068966	3.07168344967708	20.20646901059	0.6444	0.556160460029406	0.195923294267818	0.311014216415423	0.397774096577146	0.163114728123431	11	0.5559	-0.427634958346477	-0.535333290379505	0.247070586950712	0.00514114203177484	0.163268128298698	0.151624979937975	28.2435767413032	22.4601025692088	18.6125584250713	94
1788.mck25Pre.1Rapi.4	0	0	0	0	0	Rapi	4	Pre	Control	Rapi_4	1	0	125	141.434782608696	3.29302673385952	18.35460679646	NA	NA	NA	0.474262078534435	0.470556798647818	0.316416810294424	15	0.5043	-0.404297446937219	-0.0465945847731617	-0.23212705983555	0.184181848759764	0.471160224357421	-0.028255780281316	28.2435767413032	22.4601025692088	18.6125584250713	25
1788.mck418Post.4Raca.1	0	0	0	0	0	Raca	1	Post	Bd-exposed	Raca_1	9	0	77	78.5555555555556	3.67551410128571	11.39908266668	NA	NA	NA	0.406447917696721	0.438834343021314	0.179686142287874	11	0.3665	-0.265036705928861	0.0565750570473064	0.259337091397739	-0.0770760251525055	-0.0580905231549943	0.132100629996197	28.2435767413032	22.4601025692088	18.6125584250713	85
1788.mck388Post.3Rapi.6	0	0	0	0	0	Rapi	6	Post	Control	Rapi_6	8	0	68	89.375	1.38623156465896	10.32229937378	0.381	0.451890535490561	0.263551320497773	0.410750908093942	0.396830252859834	0.201638827046312	12	0.0676	-0.149985902670487	0.338461490343747	0.230674979088896	0.630321781446286	0.0230271960549256	-0.222126519066113	28.2435767413032	22.4601025692088	18.6125584250713	29
1788.mck160Pre.4Buma.1	0	0	0	0	0	Rhma	1	Pre	Control	Rhma_1	4	0	136	178.272727272727	3.98752408147271	17.20500529593	0.5117	0.454813607342238	0.211649783042841	0.418519069936875	0.317690735436714	0.203053553877466	13	0.4322	-0.212291063950058	-0.335956276401914	-0.089958801805067	-0.343146781567648	0.00544657008737863	-0.0381107823701941	28.2435767413032	22.4601025692088	18.6125584250713	83
1788.mck702Post.9Buma.5	0	0	0	0	0	Rhma	5	Post	Control	Rhma_5	14	0	178	217.375	4.96794268856635	22.38361071834	0.3911	0.257353896052245	0.231316754459336	0.427215354271847	0.338452799668298	0.184508116387046	10	0.4503	-0.27013529727223	-0.622022297178996	0.0562450415194366	-0.0253399190500472	-0.051987875471844	0.00634040900656264	28.2435767413032	22.4601025692088	18.6125584250713	102
1788.mck447Post.4Rapi.9	0	0	0	0	0	Rapi	9	Post	Bd-exposed	Rapi_9	9	1	184	208.241379310345	4.20855090281105	27.41263980845	NA	NA	NA	0.520209189560104	0.544082262124933	0.303359597131907	11	0.2448	-0.353619370495181	-0.636054319349786	-0.0249630882201118	0.250850271348489	0.89097928921975	0.148492975717698	28.2435767413032	22.4601025692088	18.6125584250713	24
1788.mck403Post.3Bubo.9	0	0	0	0	0	Anbo	9	Post	Control	Anbo_9	8	0	85	98	3.88353643732908	13.32832526011	0.5286	0.408778131353259	0.275128598251518	0.499859852580923	0.350868970710925	0.186864935570965	7	0.2462	0.213942520790119	0.143472560387964	-0.0303895136408543	0.259106358389759	-0.135248219125986	-0.139020498596535	28.2435767413032	22.4601025692088	18.6125584250713	None
1788.mck190Pre.4Bubo.8	0	0	0	0	0	Anbo	8	Pre	Control	Anbo_8	4	0	69	75.875	3.90026698213765	9.12636023711	0.4175	0.561343752876397	0.31587505579081	0.330997480957183	0.319771337828749	0.170935650251339	6	0.2893	0.425953969002338	0.553751400682126	-0.273534880712941	-0.0242001509373003	-0.193852625757668	-0.136844896589919	28.2435767413032	22.4601025692088	18.6125584250713	None
1788.mck211Pre.5Raca.12	0	0	0	0	0	Raca	9	Pre	Control	Raca_9	5	0	143	206.75	4.16931541724634	21.89896102798	0.499	0.46165352080697	0.294406076604641	0.414313209040195	0.391080369111834	0.224871331155012	5	0.0147	0.256889598637986	-0.412561768797214	-0.193239001796342	-0.506145704058581	0.539855787903189	0.147242316492467	28.2435767413032	22.4601025692088	18.6125584250713	99
