SampleID	Bd_load	Bd_load_sd	Bd_load2	Bd_load_sd2	PABD	species	indiv	prepost	Bd_exposure	indivID	time	orig_contam	observed_otus	chao1	shannon	faith_pd	dist_braycurtis	dist_unweighted_unifrac	dist_weighted_unifrac	disper_braycurtis	disper_unweighted_unifrac	disper_weighted_unifrac	inhibRich	percInhib	NMDS1_braycurtis	NMDS1_unweighted_unifrac	NMDS1_weighted_unifrac	NMDS2_braycurtis	NMDS2_unweighted_unifrac	NMDS2_weighted_unifrac	NMDS_stress_braycurtis	NMDS_stress_unweighted_unifrac	NMDS_stress_weighted_unifrac	mass_g
1788.mck714Post.9Rapi.6	0	0	0	0	0	Rapi	6	Post	Control	Rapi_6	14	0	108	131.1	3.83391257352938	17.27957243721	0.4358	0.496762681169054	0.211208366086821	0.346467389305042	0.432743649628173	0.142009998483437	10	0.2545	-0.283571218132171	-0.153488894677738	-0.119422951789077	0.270587406306136	0.0962587985779889	-0.00119943167833918	28.098783726779	22.8164934510084	18.491209331149	29
1788.mck164Pre.4Buma.5	0	0	0	0	0	Rhma	5	Pre	Control	Rhma_5	4	0	133	181	4.70928091050219	16.77143179348	0.3421	0.34552124857966	0.127119938794454	0.392076993935571	0.317368088298147	0.142308201035095	10	0.2134	-0.529594659037793	-0.149135080396954	0.200624740187697	0.217109131185462	-0.0505787973244513	-0.0308022198861447	28.098783726779	22.8164934510084	18.491209331149	102
1788.mck755Post.10Raca.3	0	0	0	0	0	Raca	3	Post	Bd-exposed	Raca_3	16	0	198	279.617647058824	3.30596978818103	28.672482362742	NA	NA	NA	0.434829254413531	0.40350437385379	0.338992476915638	16	0.4462	-0.253574812695862	-0.381465186077038	-0.413642342178054	-0.610879749016588	0.0548375975369942	-0.234301935747082	28.098783726779	22.8164934510084	18.491209331149	88
1788.mck640Post.8Raca.5	0	0	0	0	0	Raca	5	Post	Bd-exposed	Raca_5	13	0	133	161.275862068966	3.07168344967708	20.20646901059	0.6444	0.556160460029406	0.195923294267818	0.311014216415423	0.397774096577146	0.163114728123431	11	0.5559	-0.400890319667372	-0.291638465270375	-0.331736818887417	-0.440908474076914	-0.0356113666686678	-0.126736779402101	28.098783726779	22.8164934510084	18.491209331149	94
1788.mck25Pre.1Rapi.4	0	0	0	0	0	Rapi	4	Pre	Control	Rapi_4	1	0	125	141.434782608696	3.29302673385952	18.35460679646	NA	NA	NA	0.474262078534435	0.470556798647818	0.316416810294424	15	0.5043	-0.460466868764948	-0.124507482540896	0.268938466767579	-0.305927900001685	0.204013492377233	-0.0490440199582897	28.098783726779	22.8164934510084	18.491209331149	25
1788.mck418Post.4Raca.1	0	0	0	0	0	Raca	1	Post	Bd-exposed	Raca_1	9	0	77	78.5555555555556	3.67551410128571	11.39908266668	NA	NA	NA	0.406447917696721	0.438834343021314	0.179686142287874	11	0.3665	-0.334513106412053	0.0101686501956007	-0.331906235138408	-0.375736533693234	-0.0218448647289996	-0.114259883395872	28.098783726779	22.8164934510084	18.491209331149	85
1788.mck388Post.3Rapi.6	0	0	0	0	0	Rapi	6	Post	Control	Rapi_6	8	0	68	89.375	1.38623156465896	10.32229937378	0.381	0.451890535490561	0.263551320497773	0.410750908093942	0.396830252859834	0.201638827046312	12	0.0676	-0.267018958908572	0.127317624135181	-0.210104149946996	0.753363373060359	0.048973581151605	0.301508147500981	28.098783726779	22.8164934510084	18.491209331149	29
1788.mck160Pre.4Buma.1	0	0	0	0	0	Rhma	1	Pre	Control	Rhma_1	4	0	136	178.272727272727	3.98752408147271	17.20500529593	0.5117	0.454813607342238	0.211649783042841	0.418519069936875	0.317690735436714	0.203053553877466	13	0.4322	-0.509832091318315	-0.159105688416346	0.102047531225579	-0.0300340895648152	-0.0762480818728823	-0.0015687065569609	28.098783726779	22.8164934510084	18.491209331149	83
1788.mck702Post.9Buma.5	0	0	0	0	0	Rhma	5	Post	Control	Rhma_5	14	0	178	217.375	4.96794268856635	22.38361071834	0.3911	0.257353896052245	0.231316754459336	0.427215354271847	0.338452799668298	0.184508116387046	10	0.4503	-0.394393500315836	-0.282111993441314	-0.0654447703429699	0.0663910132262794	-0.15836544188789	-0.00869279396753316	28.098783726779	22.8164934510084	18.491209331149	102
1788.mck403Post.3Bubo.9	0	0	0	0	0	Anbo	9	Post	Control	Anbo_9	8	0	85	98	3.88353643732908	13.32832526011	0.5286	0.408778131353259	0.275128598251518	0.499859852580923	0.350868970710925	0.186864935570965	7	0.2462	0.302771073230626	0.0758988873184314	0.0743999515396718	0.110523942523499	-0.0518008277964923	0.133207213416669	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck190Pre.4Bubo.8	0	0	0	0	0	Anbo	8	Pre	Control	Anbo_8	4	0	69	75.875	3.90026698213765	9.12636023711	0.4175	0.561343752876397	0.31587505579081	0.330997480957183	0.319771337828749	0.170935650251339	6	0.2893	0.429864203089141	0.260807888209824	0.329132339011453	-0.118185599849864	0.00230193414875219	0.0813619381537386	28.098783726779	22.8164934510084	18.491209331149	NA
1788.mck211Pre.5Raca.12	0	0	0	0	0	Raca	9	Pre	Control	Raca_9	5	0	143	206.75	4.16931541724634	21.89896102798	0.499	0.46165352080697	0.294406076604641	0.414313209040195	0.391080369111834	0.224871331155012	5	0.0147	0.139141811187851	-0.301115615684617	0.164942946637112	-0.664270888013123	0.159232600419691	-0.216604965298011	28.098783726779	22.8164934510084	18.491209331149	99
1788.mck481Post.5Buma.1	0	0	0	0	0	Rhma	1	Post	Control	Rhma_1	10	0	113	119.176470588235	4.31241985279002	16.6314394648	0.3459	0.324538519919152	0.166605951300137	0.321523838299808	0.289907837589218	0.125509908097195	13	0.3546	-0.323988529081686	-0.130196446011567	0.057182349783228	0.0374191581575501	-0.0874861272305652	-0.0309909401220448	28.098783726779	22.8164934510084	18.491209331149	83
1788.mck239Pre.5Bubo.4	0	0	0	0	0	Anbo	4	Pre	Bd-exposed	Anbo_4	5	0	82	101.428571428571	4.31515210226987	12.98468992507	0.3361	0.507959947889823	0.167459745620597	0.430414109956194	0.370024462424775	0.22557039021419	8	0.1974	0.520398875027816	0.168758981586907	0.310335977798444	-0.0924769174467615	0.110330146033905	0.0910488585794911	28.098783726779	22.8164934510084	18.491209331149	13
1788.mck606Post.7Rapi.6	0	0	0	0	0	Rapi	6	Post	Control	Rapi_6	12	0	137	186.04347826087	2.25439336028534	22.39737074154	0.4857	0.522894400369971	0.297919471855578	0.429145057410662	0.543427490707719	0.214547184063312	9	0.1633	-0.323955637567811	-0.385353191781484	-0.162961439221261	0.707695880529296	0.278375414390603	0.0544444248454437	28.098783726779	22.8164934510084	18.491209331149	29
1788.mck678Post.8Osse.1	0	0	0	0	0	Osse	1	Post	Bd-exposed	Osse_1	13	0	89	100.375	4.21813469979536	13.939758635492	0.6657	0.628029853911755	0.323561018260964	0.53963193799107	0.450450066009163	0.216678625380709	12	0.0908	0.198926030800833	0.148972866608925	-0.082711802201357	0.525916623454951	0.0832802015680873	0.00127188221581897	28.098783726779	22.8164934510084	18.491209331149	16
1788.mck45Pre.2Raca.2	0	0	0	0	0	Raca	2	Pre	Bd-exposed	Raca_2	2	0	122	227.111111111111	3.62772942177194	19.35543936264	0.7324	0.5690318188243	0.472521285392018	0.533950757935599	0.42598825588279	0.356279200944867	10	0.0718	0.233525069310331	-0.237334376462446	0.269048596183188	-0.667837639985739	0.226670058723566	-0.140398346407489	28.098783726779	22.8164934510084	18.491209331149	93
1788.mck429Post.4Buma.2	0	0	0	0	0	Rhma	2	Post	Bd-exposed	Rhma_2	9	0	110	122.666666666667	3.40083777699511	16.73725268419	0.6456	0.392045095901703	0.250003963723812	0.451735385707164	0.378965508848797	0.229680180179727	8	0.4951	-0.514243534426357	-0.175877439457419	-0.168944010679332	-0.156507075129433	-0.291462889508524	-0.0426257754553339	28.098783726779	22.8164934510084	18.491209331149	65
1788.mck137Pre.3Bubo.8	0	0	0	0	0	Anbo	8	Pre	Control	Anbo_8	3	0	95	141.5	3.48524430059975	15.29178802029	0.3701	0.55912561965463	0.24253290892751	0.351550260418052	0.436889065098992	0.178190349091603	10	0.5275	0.497465899392959	0.0502821532081864	0.0390186474831674	-0.12977476163529	0.191137211503939	0.179464510094929	28.098783726779	22.8164934510084	18.491209331149	NA
