Response	Type	Predictor	Species	median	lower95	upper95	postprob	postprobcomp	significant
disper_braycurtis	Time	timeAnbo	Anbo	0.0255197266397255	0.012473286310689	0.0386821216712274	0.9998	0.000199999999999978	TRUE
disper_braycurtis	Time	timeMean	Mean	0.0181891502187059	0.0105600263295517	0.0255079735837266	1	0	TRUE
disper_braycurtis	Time	timeOsse	Osse	0.0217035468480791	0.00499985773065911	0.0383565917019043	0.9951	0.00490000000000002	TRUE
disper_braycurtis	Time	timeRaca	Raca	0.0101137654550511	-0.00640121776281437	0.0261342522143777	0.8874	0.1126	FALSE
disper_braycurtis	Time	timeRapi	Rapi	0.0145401469381445	-0.00676640667132481	0.0340729217532507	0.9157	0.0843	FALSE
disper_braycurtis	Time	timeRhma	Rhma	0.0193221855668613	0.004090211313715	0.0354282628258404	0.9911	0.00890000000000002	TRUE
disper_unweighted_unifrac	Time	timeAnbo	Anbo	0.0100391742994616	0.000920574533034445	0.0192529857133505	0.9841	0.0159	TRUE
disper_unweighted_unifrac	Time	timeMean	Mean	0.0092546589582186	0.00402564195117917	0.0144063564400845	0.9996	0.000399999999999956	TRUE
disper_unweighted_unifrac	Time	timeOsse	Osse	0.0245603417389175	0.0123868250908693	0.0360190697461992	1	0	TRUE
disper_unweighted_unifrac	Time	timeRaca	Raca	-0.00518299800362913	-0.0170342950178164	0.00614285805176551	0.808	0.192	FALSE
disper_unweighted_unifrac	Time	timeRapi	Rapi	0.0188249559686776	0.00410430333290445	0.0331805629503278	0.9939	0.00609999999999999	TRUE
disper_unweighted_unifrac	Time	timeRhma	Rhma	-0.00214852408023508	-0.0136666693164522	0.00807232498740537	0.6451	0.3549	FALSE
disper_weighted_unifrac	Time	timeAnbo	Anbo	0.0377485863948983	0.0194834185176755	0.0585539611904346	1	0	TRUE
disper_weighted_unifrac	Time	timeMean	Mean	0.0167943284805764	0.00555312855059347	0.0275133870134025	0.9986	0.00139999999999996	TRUE
disper_weighted_unifrac	Time	timeOsse	Osse	0.0329254726438176	0.00814095694276642	0.0582857557143706	0.9946	0.00539999999999996	TRUE
disper_weighted_unifrac	Time	timeRaca	Raca	0.00330373870363688	-0.0211206274116096	0.028918016772201	0.5971	0.4029	FALSE
disper_weighted_unifrac	Time	timeRapi	Rapi	-0.00581883340452764	-0.0367277419997439	0.0231526858179476	0.648	0.352	FALSE
disper_weighted_unifrac	Time	timeRhma	Rhma	0.0159336125515754	-0.00676769105364989	0.0391922271905802	0.9099	0.0901	FALSE
dist_braycurtis	Time	timeAnbo	Anbo	-0.0141287066110213	-0.0457983675750695	0.0195545784843676	0.8015	0.1985	FALSE
dist_braycurtis	Time	timeMean	Mean	-0.0192458299090617	-0.0408812692135206	0.00224632199549711	0.9573	0.0427	FALSE
dist_braycurtis	Time	timeOsse	Osse	-0.0207480446734045	-0.0716058190829237	0.0243905696270984	0.8044	0.1956	FALSE
dist_braycurtis	Time	timeRaca	Raca	-0.0278291028960696	-0.0792845719436185	0.025444075805106	0.8585	0.1415	FALSE
dist_braycurtis	Time	timeRapi	Rapi	-0.0240026454435844	-0.0840759600610436	0.0338184526793974	0.7837	0.2163	FALSE
dist_braycurtis	Time	timeRhma	Rhma	-0.00828143215585336	-0.0524383083762831	0.0354982069951155	0.6479	0.3521	FALSE
dist_unweighted_unifrac	Time	timeAnbo	Anbo	-0.0138233945456329	-0.0332464984842296	0.00750323880462939	0.9062	0.0938	FALSE
dist_unweighted_unifrac	Time	timeMean	Mean	-0.0245825975321354	-0.0377018022665893	-0.0111240134594345	1	0	TRUE
dist_unweighted_unifrac	Time	timeOsse	Osse	-0.0317092791061048	-0.0616397849392132	-0.00154038232702181	0.9817	0.0183	TRUE
dist_unweighted_unifrac	Time	timeRaca	Raca	-0.0200496078499057	-0.0507512499841622	0.0108413810965263	0.8958	0.1042	FALSE
dist_unweighted_unifrac	Time	timeRapi	Rapi	-0.0140604763168376	-0.0512612322010474	0.0222219218778424	0.7721	0.2279	FALSE
dist_unweighted_unifrac	Time	timeRhma	Rhma	-0.04293508766892	-0.0721823620919387	-0.0148823178694589	0.9984	0.00160000000000005	TRUE
dist_weighted_unifrac	Time	timeAnbo	Anbo	-0.005698737771064	-0.036725346382829	0.0245627341617479	0.6412	0.3588	FALSE
dist_weighted_unifrac	Time	timeMean	Mean	-0.00242674819174496	-0.0228211296289736	0.015997730539672	0.5951	0.4049	FALSE
