Response	Type	Predictor	Species	median	lower95	upper95	postprob	postprobcomp	significant
disper_braycurtis	Time	timeAnbo	Anbo	0.0352475440333179	0.0221025328243041	0.0490358237361049	1	0	TRUE
disper_braycurtis	Time	timeMean	Mean	0.0181579273024429	0.010655823600721	0.0257000234980396	1	0	TRUE
disper_braycurtis	Time	timeOsse	Osse	0.0194231903779363	0.00154186309807602	0.0368983655224713	0.9837	0.0163	TRUE
disper_braycurtis	Time	timeRaca	Raca	0.0120970041616801	-0.0044685934626548	0.0285947165665094	0.9221	0.0779	FALSE
disper_braycurtis	Time	timeRapi	Rapi	0.00379751933780979	-0.016429744994736	0.0223844389559517	0.6514	0.3486	FALSE
disper_braycurtis	Time	timeRhma	Rhma	0.0203526388072525	0.00530380604864886	0.036203400538692	0.9954	0.00460000000000005	TRUE
disper_unweighted_unifrac	Time	timeAnbo	Anbo	0.0124713361773343	0.00191435594026905	0.0236042234208089	0.9876	0.0124	TRUE
disper_unweighted_unifrac	Time	timeMean	Mean	0.00894876913926362	0.00250609270168469	0.014822431518741	0.9977	0.00229999999999997	TRUE
disper_unweighted_unifrac	Time	timeOsse	Osse	0.0255645577425621	0.0114154641796403	0.0402326274283424	0.9997	0.000299999999999967	TRUE
disper_unweighted_unifrac	Time	timeRaca	Raca	-0.00625553950275407	-0.0206360819294543	0.00680989747458315	0.8132	0.1868	FALSE
disper_unweighted_unifrac	Time	timeRapi	Rapi	0.0139447303248048	-0.00225608662079561	0.0298266575728942	0.955	0.045	FALSE
disper_unweighted_unifrac	Time	timeRhma	Rhma	-0.00103067285272519	-0.0136683453922266	0.0114477984532936	0.5676	0.4324	FALSE
disper_weighted_unifrac	Time	timeAnbo	Anbo	0.0500032074812212	0.0312714108302244	0.0695961924751513	1	0	TRUE
disper_weighted_unifrac	Time	timeMean	Mean	0.0181851115751526	0.00725748833539277	0.0288770133197257	0.9992	0.000800000000000023	TRUE
disper_weighted_unifrac	Time	timeOsse	Osse	0.0337402957752232	0.00930038931946579	0.0605309934775336	0.9946	0.00539999999999996	TRUE
disper_weighted_unifrac	Time	timeRaca	Raca	0.0048847031934478	-0.0194763588610756	0.0316260811425043	0.6545	0.3455	FALSE
disper_weighted_unifrac	Time	timeRapi	Rapi	-0.0184397174602945	-0.0463035352985444	0.0108572068695111	0.8958	0.1042	FALSE
disper_weighted_unifrac	Time	timeRhma	Rhma	0.0197992202342811	-0.00290783704056082	0.0420485763454969	0.959	0.041	FALSE
dist_braycurtis	Time	timeAnbo	Anbo	0.00669101363314159	-0.0308094294279779	0.0423320788687075	0.6395	0.3605	FALSE
dist_braycurtis	Time	timeMean	Mean	-0.008440547253623	-0.0313435271054495	0.0161648703335684	0.7562	0.2438	FALSE
dist_braycurtis	Time	timeOsse	Osse	-0.013728620713569	-0.068210679106995	0.0427875694451967	0.6865	0.3135	FALSE
dist_braycurtis	Time	timeRaca	Raca	-0.0271816073040717	-0.0808747342722956	0.0325082976746797	0.8279	0.1721	FALSE
dist_braycurtis	Time	timeRapi	Rapi	-0.00668024078325943	-0.0722043686949823	0.0555258018249903	0.5838	0.4162	FALSE
dist_braycurtis	Time	timeRhma	Rhma	-0.00159658633429205	-0.050677307255711	0.0446331417435039	0.5248	0.4752	FALSE
dist_unweighted_unifrac	Time	timeAnbo	Anbo	-0.0110168095999676	-0.0373520493027715	0.012225814885687	0.8054	0.1946	FALSE
dist_unweighted_unifrac	Time	timeMean	Mean	-0.0232835329093368	-0.0400422736217431	-0.00759400050562735	0.9979	0.00209999999999999	TRUE
dist_unweighted_unifrac	Time	timeOsse	Osse	-0.0279190476543967	-0.0651481648293224	0.0103032877360894	0.9299	0.0701000000000001	FALSE
dist_unweighted_unifrac	Time	timeRaca	Raca	-0.0291670903988038	-0.0684041862826446	0.00876436376668088	0.9332	0.0668	FALSE
dist_unweighted_unifrac	Time	timeRapi	Rapi	-0.00943855395651655	-0.053444165110706	0.0338763313650258	0.6572	0.3428	FALSE
dist_unweighted_unifrac	Time	timeRhma	Rhma	-0.0393999433927915	-0.07368414841583	-0.0046963628301443	0.9875	0.0125	TRUE
dist_weighted_unifrac	Time	timeAnbo	Anbo	0.0136435537374432	-0.0213169236464497	0.0479976446440269	0.7812	0.2188	FALSE
