Response	Type	Predictor	median	lower95	upper95	postprob	sig	sigCI	postprobcomp	significant
disper_braycurtis	Time	timeAnbo	0.0433639141288023	0.0350919976050381	0.0516504826536985	1	TRUE	TRUE	0	TRUE
disper_braycurtis	Time	timeMean	0.0165298914360107	0.0103533367964451	0.0228421581102862	1	TRUE	TRUE	0	TRUE
disper_braycurtis	Time	timeOsse	0.0236738751689666	0.0141777334018554	0.0330511768725477	1	TRUE	TRUE	0	TRUE
disper_braycurtis	Time	timeRaca	0.00070528522485204	-0.00818879033734123	0.0101936168424193	0.5635	FALSE	FALSE	0.4365	FALSE
disper_braycurtis	Time	timeRapi	0.00059516648049205	-0.0125527428480575	0.0137674804930267	0.5337	FALSE	FALSE	0.4663	FALSE
disper_braycurtis	Time	timeRhma	0.0143169653786694	0.00474413164011683	0.0248210604229234	0.9981	TRUE	TRUE	0.00190000000000001	TRUE
disper_unweighted_unifrac	Time	timeAnbo	0.00701816328447315	0.00228226133501012	0.0119565106546226	0.9972	TRUE	TRUE	0.00280000000000002	TRUE
disper_unweighted_unifrac	Time	timeMean	0.000158126847297991	-0.00350767056162935	0.00393885074109885	0.5343	FALSE	FALSE	0.4657	FALSE
disper_unweighted_unifrac	Time	timeOsse	0.003650353770352	-0.0017377680388108	0.00948589797054081	0.9006	FALSE	FALSE	0.0994	FALSE
disper_unweighted_unifrac	Time	timeRaca	-0.00558867868421278	-0.0109842470337638	-0.000179446672310513	0.978	TRUE	TRUE	0.022	TRUE
disper_unweighted_unifrac	Time	timeRapi	0.00187919975319014	-0.00581512992789822	0.00991696855592846	0.6878	FALSE	FALSE	0.3122	FALSE
disper_unweighted_unifrac	Time	timeRhma	-0.00641051296818573	-0.0125338418575225	-0.00086688395147029	0.9839	TRUE	TRUE	0.0161	TRUE
disper_weighted_unifrac	Time	timeAnbo	0.0394316081904758	0.0266160965310533	0.0530489600351275	1	TRUE	TRUE	0	TRUE
disper_weighted_unifrac	Time	timeMean	0.0182195419362715	0.00830959820521678	0.0290722652437533	0.9998	TRUE	TRUE	0.000199999999999978	TRUE
disper_weighted_unifrac	Time	timeOsse	0.0423513776648728	0.0269925248081786	0.057758312043879	1	TRUE	TRUE	0	TRUE
disper_weighted_unifrac	Time	timeRaca	0.00356577439804475	-0.0113705495627536	0.0184255896496539	0.6856	FALSE	FALSE	0.3144	FALSE
disper_weighted_unifrac	Time	timeRapi	-0.0094916350093971	-0.0316859791318961	0.0125379652303922	0.8028	FALSE	FALSE	0.1972	FALSE
disper_weighted_unifrac	Time	timeRhma	0.0154017640664683	-0.0011593334679037	0.0314525735069444	0.9671	TRUE	FALSE	0.0329	FALSE
dist_braycurtis	Time	timeAnbo	0.0293278688017211	0.000887194797893454	0.0605589648177336	0.9732	TRUE	TRUE	0.0268	FALSE
dist_braycurtis	Time	timeMean	0.014741965137928	-0.0117751873030748	0.0401132217738554	0.8678	FALSE	FALSE	0.1322	FALSE
dist_braycurtis	Time	timeOsse	0.00233833157332078	-0.0349827396886793	0.0412089123744774	0.544	FALSE	FALSE	0.456	FALSE
dist_braycurtis	Time	timeRaca	0.0218618447734993	-0.018796159085136	0.0626146289439673	0.8523	FALSE	FALSE	0.1477	FALSE
dist_braycurtis	Time	timeRapi	0.0136740284197211	-0.0439868152551899	0.0775328150638733	0.6733	FALSE	FALSE	0.3267	FALSE
dist_braycurtis	Time	timeRhma	0.00623095456015138	-0.0366406543033657	0.0457688004795439	0.6177	FALSE	FALSE	0.3823	FALSE
dist_unweighted_unifrac	Time	timeAnbo	-0.00209548233153317	-0.0203545322592243	0.016020981041631	0.5884	FALSE	FALSE	0.4116	FALSE
dist_unweighted_unifrac	Time	timeMean	-0.0186973817621584	-0.0343116910611482	-0.00186189415653566	0.9889	TRUE	TRUE	0.0111	TRUE
dist_unweighted_unifrac	Time	timeOsse	-0.0266424272079989	-0.0501017947023877	-0.00277739866824278	0.986	TRUE	TRUE	0.014	TRUE
dist_unweighted_unifrac	Time	timeRaca	-0.0201418483552662	-0.043805176571574	0.00476038747656338	0.9473	FALSE	FALSE	0.0527	FALSE
dist_unweighted_unifrac	Time	timeRapi	-0.0108345673585108	-0.0482703076547348	0.0254188146807303	0.7172	FALSE	FALSE	0.2828	FALSE
dist_unweighted_unifrac	Time	timeRhma	-0.0336341298618526	-0.0591536501768653	-0.00749332504954425	0.995	TRUE	TRUE	0.005	TRUE
dist_weighted_unifrac	Time	timeAnbo	0.0181936987861726	-0.00738143772124578	0.0447780100291168	0.9157	FALSE	FALSE	0.0843	FALSE
dist_weighted_unifrac	Time	timeMean	0.0108664694449408	-0.0107756542566461	0.0346892551257128	0.827	FALSE	FALSE	0.173	FALSE
dist_weighted_unifrac	Time	timeOsse	0.0207020107139021	-0.0112129085718811	0.056534837686576	0.8846	FALSE	FALSE	0.1154	FALSE
dist_weighted_unifrac	Time	timeRaca	0.012254882140873	-0.0211548058801229	0.045742284847235	0.7551	FALSE	FALSE	0.2449	FALSE
dist_weighted_unifrac	Time	timeRapi	0.00296638213230951	-0.0505430243273	0.0562888818786859	0.5461	FALSE	FALSE	0.4539	FALSE
dist_weighted_unifrac	Time	timeRhma	0.000595323114139151	-0.0357510530105926	0.0349747691757238	0.5133	FALSE	FALSE	0.4867	FALSE
inhibRich	Time	timeAnbo	-0.24216513501138	-0.370092704993213	-0.108951122624459	0.9999	TRUE	TRUE	9.9999999999989e-05	TRUE
inhibRich	Time	timeMean	-0.142589192188753	-0.260791555234877	-0.035047136352464	0.9942	TRUE	TRUE	0.00580000000000003	TRUE
inhibRich	Time	timeOsse	-0.343541535932016	-0.522377555632022	-0.170870989987695	0.9997	TRUE	TRUE	0.000299999999999967	TRUE
inhibRich	Time	timeRaca	0.246099428022343	0.0814051138658659	0.413154803598197	0.9983	TRUE	TRUE	0.00170000000000003	TRUE
inhibRich	Time	timeRapi	-0.215702600883699	-0.456637281532881	0.0235734068688667	0.9601	TRUE	FALSE	0.0399	FALSE
inhibRich	Time	timeRhma	-0.16348380034491	-0.339616201886766	0.0146287617713935	0.9627	TRUE	FALSE	0.0373	FALSE
observed_otus	Time	timeAnbo	0.00931654288225997	-0.00344632402264267	0.0221837625339408	0.9257	FALSE	FALSE	0.0743	FALSE
observed_otus	Time	timeMean	0.0239718620999679	0.0141310694259856	0.0335636161120525	1	TRUE	TRUE	0	TRUE
observed_otus	Time	timeOsse	0.0563550790623477	0.0429129883753651	0.0717873337486534	1	TRUE	TRUE	0	TRUE
observed_otus	Time	timeRaca	0.0216869710660079	0.00771670005120135	0.0359415956396005	0.998	TRUE	TRUE	0.002	TRUE
observed_otus	Time	timeRapi	0.0231614492789958	0.00216445328481242	0.0427072859268477	0.9881	TRUE	TRUE	0.0119	TRUE
observed_otus	Time	timeRhma	0.00937981081176395	-0.00549731291221012	0.0252970137642839	0.8862	FALSE	FALSE	0.1138	FALSE
percInhib	Time	timeAnbo	-0.0508713576547456	-0.0855291273412173	-0.020363319276957	0.9998	TRUE	TRUE	0.000199999999999978	TRUE
percInhib	Time	timeMean	-0.0308535499450358	-0.0586718358957117	-0.00530960954146109	0.9879	TRUE	TRUE	0.0121	TRUE
percInhib	Time	timeOsse	-0.178174559724608	-0.221889308721816	-0.134640481864552	1	TRUE	TRUE	0	TRUE
percInhib	Time	timeRaca	0.0612008001732755	0.0218415428572146	0.0982322817673663	0.9996	TRUE	TRUE	0.000399999999999956	TRUE
percInhib	Time	timeRapi	-0.0511357035791927	-0.106701511532349	0.00664093802969068	0.9645	TRUE	FALSE	0.0355	FALSE
percInhib	Time	timeRhma	0.0649474433347739	0.0203493618928317	0.107820515096249	0.9987	TRUE	TRUE	0.00129999999999997	TRUE
shannon	Time	timeAnbo	-0.0105839255146995	-0.0419903644905585	0.0181820613494352	0.7568	FALSE	FALSE	0.2432	FALSE
shannon	Time	timeMean	0.0163869756658228	-0.00619489145463794	0.0405519757960255	0.913	FALSE	FALSE	0.087	FALSE
shannon	Time	timeOsse	0.112463813397845	0.0786698562182868	0.148129857254094	1	TRUE	TRUE	0	TRUE
shannon	Time	timeRaca	0.0152824195066662	-0.0189659437436149	0.0484440360480939	0.8039	FALSE	FALSE	0.1961	FALSE
shannon	Time	timeRapi	-0.0195998401866216	-0.0689297853708834	0.0282279344021396	0.7784	FALSE	FALSE	0.2216	FALSE
shannon	Time	timeRhma	-0.0162446934304604	-0.0539195824653967	0.0204725432260559	0.8043	FALSE	FALSE	0.1957	FALSE
disper_braycurtis	SpeciesAverage	Anbo	-1.2707780659667	-1.36679274892741	-1.17536698509521	1	TRUE	TRUE	0	TRUE
disper_braycurtis	SpeciesAverage	Osse	-0.914147873071362	-1.01809051928846	-0.808043414715487	1	TRUE	TRUE	0	TRUE
