Response	Type	Predictor	Species	median	lower95	upper95	postprob	comp_postprob	postprobcomp	significant
disper_braycurtis	Time	timeAnbo	Anbo	0.046145949328091	0.0354699330854752	0.0565427278009416	1	0	0	TRUE
disper_braycurtis	Time	timeMean	Mean	0.0184007948736813	0.0125773707866889	0.0243572369501427	1	0	0	TRUE
disper_braycurtis	Time	timeOsse	Osse	0.0250820079011513	0.0108754148149904	0.0391938358955613	0.9998	0.000199999999999978	0.000199999999999978	TRUE
disper_braycurtis	Time	timeRaca	Raca	0.00586998893141591	-0.00750416217309382	0.0194628920850954	0.8075	0.1925	0.1925	FALSE
disper_braycurtis	Time	timeRapi	Rapi	-0.00286733789787558	-0.017855309610243	0.0131905088723684	0.6354	0.3646	0.3646	FALSE
disper_braycurtis	Time	timeRhma	Rhma	0.0178608781696128	0.00575106597379468	0.030149232872549	0.9971	0.00290000000000001	0.00290000000000001	TRUE
disper_unweighted_unifrac	Time	timeAnbo	Anbo	0.00876991969035239	0.00267245271687757	0.0149038282109757	0.9968	0.00319999999999998	0.00319999999999998	TRUE
disper_unweighted_unifrac	Time	timeMean	Mean	0.0018953098640839	-0.00154556634963756	0.00530947622097661	0.858	0.142	0.142	FALSE
disper_unweighted_unifrac	Time	timeOsse	Osse	0.0106162873434577	0.00253940267866985	0.0187758959024873	0.9942	0.00580000000000003	0.00580000000000003	TRUE
disper_unweighted_unifrac	Time	timeRaca	Raca	-0.00704732311822566	-0.0150342506755433	0.000980677420181224	0.9587	0.0413	0.0413	FALSE
disper_unweighted_unifrac	Time	timeRapi	Rapi	0.002631423008416	-0.00630987115537133	0.0117609280011878	0.7205	0.2795	0.2795	FALSE
disper_unweighted_unifrac	Time	timeRhma	Rhma	-0.00557026879329572	-0.0123509614476404	0.00181466739424882	0.9373	0.0627	0.0627	FALSE
disper_weighted_unifrac	Time	timeAnbo	Anbo	0.0479388932910753	0.0315651066738144	0.0645418146014133	1	0	0	TRUE
disper_weighted_unifrac	Time	timeMean	Mean	0.0227341410134278	0.0135861421386024	0.0320961503098476	1	0	0	TRUE
disper_weighted_unifrac	Time	timeOsse	Osse	0.0575398347353048	0.0358975885130405	0.080133162947681	1	0	0	TRUE
disper_weighted_unifrac	Time	timeRaca	Raca	0.00604418830934289	-0.0147310100181607	0.0266737018457236	0.7163	0.2837	0.2837	FALSE
disper_weighted_unifrac	Time	timeRapi	Rapi	-0.0145539189556612	-0.03963808680808	0.00951050489417932	0.8838	0.1162	0.1162	FALSE
disper_weighted_unifrac	Time	timeRhma	Rhma	0.0168281384501462	-0.00240375034852334	0.036442105869978	0.9568	0.0432	0.0432	FALSE
dist_braycurtis	Time	timeAnbo	Anbo	0.00669101363314159	-0.0308094294279779	0.0423320788687075	0.6395	0.3605	0.3605	FALSE
dist_braycurtis	Time	timeMean	Mean	-0.008440547253623	-0.0313435271054495	0.0161648703335684	0.7562	0.2438	0.2438	FALSE
dist_braycurtis	Time	timeOsse	Osse	-0.013728620713569	-0.068210679106995	0.0427875694451967	0.6865	0.3135	0.3135	FALSE
