indivID	exp_inhibRich	p_inhibRich	exp_percInhib	p_percInhib	exp_dist_weighted_unifrac	p_dist_weighted_unifrac	exp_dist_unweighted_unifrac	p_dist_unweighted_unifrac	exp_dist_braycurtis	p_dist_braycurtis	exp_disper_weighted_unifrac	p_disper_weighted_unifrac	exp_disper_unweighted_unifrac	p_disper_unweighted_unifrac	exp_disper_braycurtis	p_disper_braycurtis	exp_faith_pd	p_faith_pd	exp_shannon	p_shannon	exp_chao1	p_chao1	exp_observed_otus	p_observed_otus	infect
Raca_3	8	0.37075	0.140736446328213	0.56625	0.348335625737703	0.5095	0.568979988162306	0.3245	0.546804467060739	0.29225	-0.192312148645263	0.52975	-0.301448567803132	0.45725	0.0140085120411931	0.53	18.3155783845434	0.57025	3.96603209164199	0.62975	4.92912373812656	0.5695	4.75228679106413	0.58375	1.66666666666667
Raca_5	9	0.4975	0.299381216936719	0.86175	0.383595623584322	0.62575	0.556256050618405	0.279	0.657452997713441	0.54175	-0.347841333604014	0.35725	-0.345669144811925	0.3655	0.0396034666163477	0.57675	18.4448634735745	0.5835	4.02986131002382	0.67025	4.97696601133705	0.6235	4.78225171658949	0.6275	0.333333333333333
Raca_1	5.5	0.15125	0.292250982980698	0.85275	0.353317788655699	0.52975	0.650422617048926	0.62275	0.727092242275291	0.7085	-0.287185575159314	0.42725	-0.248047067670717	0.56375	0.140491152508351	0.72425	18.9108750979161	0.621	3.49378161990662	0.35125	4.93640686582988	0.57725	4.73367690983679	0.56	1.33333333333333
Anbo_4	11.2	0.463	0.271505215464883	0.089	0.320787331418914	0.837	0.515304622278407	0.591	0.481693005881856	0.6655	-0.461642131136369	0.6485	-0.34966399176399	0.471	-0.00981558621115501	0.75	11.6688791102309	0.597	4.11252921899125	0.772	4.56188299189538	0.56625	4.36357667020261	0.565	9.33333333333333
Osse_1	18.6666666666667	0.70725	0.80656402945511	0.84275	0.217379114715098	0.4095	0.604614878671444	0.42	0.521290717804751	0.41775	-0.469748963809673	0.505	-0.524004203121178	0.29975	0.239716518540854	0.791	9.3194488451376	0.50525	2.40759777572546	0.06725	4.51798474047209	0.54375	4.36412856847949	0.524	0
Raca_2	8.8	0.4975	0.141811441967057	0.569	0.41067318315404	0.70275	0.614768912563763	0.49725	0.660101530730167	0.54725	-0.0765407558873433	0.652	-0.300461114979097	0.45875	0.0570308052627307	0.60125	15.7643085940226	0.3605	3.421207460102	0.3105	4.84135960875123	0.468	4.58024812313214	0.369	0
Rhma_2	12.5	0.63975	0.224799623038331	0.7045	0.31735037434806	0.73225	0.475664485200174	0.57325	0.556144345376648	0.7285	0.0404213659402232	0.8665	-0.216588702283244	0.71025	0.183649783513149	0.71775	16.5271571569125	0.43875	3.7154517376602	0.23225	4.91698689135321	0.34525	4.78358254278516	0.3915	3
Osse_6	17.75	0.6185	0.722755563115635	0.701	0.179785835293605	0.27275	0.596455580313734	0.392	0.461455849050839	0.2905	-0.673000556187433	0.29975	-0.377758160889622	0.5745	-0.114912392689812	0.2685	8.48240839494179	0.424	3.59780726665127	0.61525	4.37802535892628	0.389	4.21731173276496	0.34225	0
Rhma_8	13	0.63975	0.158572507296293	0.55875	0.261126226082887	0.57	0.486759299665121	0.61075	0.484762084940552	0.5785	-0.371599890046406	0.5035	-0.302793919962093	0.54475	0.000488336614001709	0.42475	19.8659759344588	0.70875	4.67742469546208	0.784	5.2595514957692	0.70675	5.05821039861373	0.72	2.66666666666667
Raca_4	8	0.37075	0.206582465732286	0.72425	0.363334501560659	0.56	0.584317570316889	0.3825	0.667920403540114	0.56925	-0.209960587029457	0.511	-0.209047394199247	0.63475	-0.0399905392309887	0.43425	16.6545674005484	0.43625	3.61044906029141	0.41825	4.84470683416888	0.47175	4.58611037902679	0.37425	1.33333333333333
