Model	Train_set_error_rate	Validation_set_error_rate	Top_importance	MeanDecrAccuracy
onlyp	26.667%	0.714%	p_disper_unweighted_unifrac	MeanDecrAccuracy=7.2
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=4.03
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=2.58
NA	NA	NA	p_shannon	MeanDecrAccuracy=1.27
NA	NA	NA	species	MeanDecrAccuracy=-0.21
NA	NA	NA	p_dist_braycurtis	MeanDecrAccuracy=-0.32
NA	NA	NA	p_dist_weighted_unifrac	MeanDecrAccuracy=-0.6
NA	NA	NA	p_disper_weighted_unifrac	MeanDecrAccuracy=-0.65
NA	NA	NA	p_observed_otus	MeanDecrAccuracy=-1.31
NA	NA	NA	p_disper_braycurtis	MeanDecrAccuracy=-1.45
NA	NA	NA	p_percInhib	MeanDecrAccuracy=-1.7
NA	NA	NA	p_dist_unweighted_unifrac	MeanDecrAccuracy=-2.36
NA	NA	NA	p_chao1	MeanDecrAccuracy=-2.99
nop	33.333%	0.714%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=3.09
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	MeanDecrAccuracy=2.38
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=2.07
NA	NA	NA	Betaproteobacteria:Achromobacter_sp	MeanDecrAccuracy=1.99
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=1.94
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	MeanDecrAccuracy=1.92
NA	NA	NA	Alphaproteobacteria:g__Ochrobactrum	MeanDecrAccuracy=1.92
NA	NA	NA	Alphaproteobacteria:o__Rhizobiales	MeanDecrAccuracy=1.92
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta	MeanDecrAccuracy=1.74
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-4	MeanDecrAccuracy=1.71
NA	NA	NA	Alphaproteobacteria:f__Sphingomonadaceae-2	MeanDecrAccuracy=1.7
NA	NA	NA	[Saprospirae]:f__Chitinophagaceae_sp-25	MeanDecrAccuracy=1.67
NA	NA	NA	Bacteroidia:f__[Paraprevotellaceae]_sp	MeanDecrAccuracy=1.64
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	MeanDecrAccuracy=1.6
NA	NA	NA	Bacteroidia:f__Porphyromonadaceae	MeanDecrAccuracy=1.55
withp	33.333%	0.714%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=3.7
NA	NA	NA	p_disper_unweighted_unifrac	MeanDecrAccuracy=2.58
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=2.19
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=2.17
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=1.94
NA	NA	NA	Bacteroidia:f__Porphyromonadaceae	MeanDecrAccuracy=1.7
NA	NA	NA	Bacteroidia:o__Bacteroidales-16	MeanDecrAccuracy=1.68
NA	NA	NA	Gammaproteobacteria:Stenotrophomonas_geniculata	MeanDecrAccuracy=1.64
NA	NA	NA	Betaproteobacteria:Achromobacter_sp	MeanDecrAccuracy=1.58
NA	NA	NA	Alphaproteobacteria:Sphingobium_xenophagum	MeanDecrAccuracy=1.41
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae	MeanDecrAccuracy=1.41
NA	NA	NA	Bacilli:g__Staphylococcus	MeanDecrAccuracy=1.4
NA	NA	NA	Alphaproteobacteria:f__Methylobacteriaceae	MeanDecrAccuracy=1.4
NA	NA	NA	Flavobacteriia:Cloacibacterium_sp	MeanDecrAccuracy=1.39
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	MeanDecrAccuracy=1.38
