Model	Train_set_error_rate	Validation_set_error_rate	Top_importance	MeanDecrAccuracy
onlyp	26.667%	0.714%	p_disper_unweighted_unifrac	MeanDecrAccuracy=7.2
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=4.03
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=2.58
NA	NA	NA	p_shannon	MeanDecrAccuracy=1.27
NA	NA	NA	species	MeanDecrAccuracy=-0.21
NA	NA	NA	p_dist_braycurtis	MeanDecrAccuracy=-0.32
NA	NA	NA	p_dist_weighted_unifrac	MeanDecrAccuracy=-0.6
NA	NA	NA	p_disper_weighted_unifrac	MeanDecrAccuracy=-0.65
NA	NA	NA	p_observed_otus	MeanDecrAccuracy=-1.31
NA	NA	NA	p_disper_braycurtis	MeanDecrAccuracy=-1.45
NA	NA	NA	p_percInhib	MeanDecrAccuracy=-1.7
NA	NA	NA	p_dist_unweighted_unifrac	MeanDecrAccuracy=-2.36
NA	NA	NA	p_chao1	MeanDecrAccuracy=-2.99
nop	40%	0.714%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.45
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=2.44
NA	NA	NA	Bacilli:Alicyclobacillus_sp	MeanDecrAccuracy=2.41
NA	NA	NA	Actinobacteria:o__Actinomycetales-3	MeanDecrAccuracy=1.93
NA	NA	NA	Alphaproteobacteria:Brevundimonas_sp	MeanDecrAccuracy=1.91
NA	NA	NA	Actinobacteria:g__Brevibacterium (inhibitory)	MeanDecrAccuracy=1.84
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=1.8
NA	NA	NA	Gammaproteobacteria:g__Halomonas	MeanDecrAccuracy=1.73
NA	NA	NA	Clostridia:Anaerostipes_sp	MeanDecrAccuracy=1.73
NA	NA	NA	Betaproteobacteria:f__Alcaligenaceae-1	MeanDecrAccuracy=1.73
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	MeanDecrAccuracy=1.72
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	MeanDecrAccuracy=1.7
NA	NA	NA	Gammaproteobacteria:Acinetobacter_johnsonii	MeanDecrAccuracy=1.68
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas (inhibitory)	MeanDecrAccuracy=1.66
NA	NA	NA	Sphingobacteriia:f__Sphingobacteriaceae-2	MeanDecrAccuracy=1.65
withp	40%	0.714%	Thermoleophilia:Patulibacter_sp	MeanDecrAccuracy=2.76
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.27
NA	NA	NA	p_disper_unweighted_unifrac	MeanDecrAccuracy=2.22
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=1.97
NA	NA	NA	Bacilli:Alicyclobacillus_sp	MeanDecrAccuracy=1.77
NA	NA	NA	Alphaproteobacteria:Azospirillum_sp-1	MeanDecrAccuracy=1.73
NA	NA	NA	Sphingobacteriia:Sphingobacterium_sp-3	MeanDecrAccuracy=1.67
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=1.67
NA	NA	NA	Gammaproteobacteria:g__Halomonas	MeanDecrAccuracy=1.65
NA	NA	NA	Bacteroidia:f__[Paraprevotellaceae]_sp	MeanDecrAccuracy=1.64
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta	MeanDecrAccuracy=1.59
NA	NA	NA	Gammaproteobacteria:Acinetobacter_johnsonii	MeanDecrAccuracy=1.42
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	MeanDecrAccuracy=1.41
NA	NA	NA	Alphaproteobacteria:Bosea_genosp.	MeanDecrAccuracy=1.41
NA	NA	NA	Alphaproteobacteria:f__Brucellaceae	MeanDecrAccuracy=1.41
