Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	6.969, -25.41% var explained	4.809	species	%IncrMSE=6.8
NA	NA	NA	p_chao1	%IncrMSE=2.01
NA	NA	NA	p_percInhib	%IncrMSE=1.87
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=1.68
NA	NA	NA	p_faith_pd	%IncrMSE=1.41
NA	NA	NA	p_inhibRich	%IncrMSE=1.31
NA	NA	NA	p_shannon	%IncrMSE=0.93
NA	NA	NA	p_observed_otus	%IncrMSE=0.49
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-0.06
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-0.44
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-0.92
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-0.99
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=-2.91
nop	5.588, -0.56% var explained	5.583	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.34
NA	NA	NA	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.13
NA	NA	NA	species	%IncrMSE=2.2
NA	NA	NA	Alphaproteobacteria:Caulobacter_sp-1	%IncrMSE=1.95
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=1.94
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=1.93
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=1.76
NA	NA	NA	Alphaproteobacteria:f__Bradyrhizobiaceae-1	%IncrMSE=1.74
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=1.61
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae	%IncrMSE=1.58
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=1.53
NA	NA	NA	Gammaproteobacteria:g__Aeromonas (inhibitory)	%IncrMSE=1.49
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	%IncrMSE=1.44
NA	NA	NA	Bacteroidia:o__Bacteroidales_sp	%IncrMSE=1.42
NA	NA	NA	Alphaproteobacteria:Rhizobium_sp (inhibitory)	%IncrMSE=1.37
withp	5.234, 5.8% var explained	5.114	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.57
NA	NA	NA	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=3.28
NA	NA	NA	Alphaproteobacteria:Caulobacter_sp-1	%IncrMSE=2.88
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=2.35
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.06
NA	NA	NA	Flavobacteriia:Flavobacterium_sp-14	%IncrMSE=1.98
NA	NA	NA	Clostridia:o__Clostridiales	%IncrMSE=1.95
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=1.95
NA	NA	NA	species	%IncrMSE=1.89
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae	%IncrMSE=1.89
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=1.67
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=1.66
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	%IncrMSE=1.62
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	%IncrMSE=1.58
NA	NA	NA	Gammaproteobacteria:g__Aeromonas (inhibitory)	%IncrMSE=1.54
