Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	7.453, 1.83% var explained	1.433	species	%IncrMSE=10.24
NA	NA	NA	p_percInhib	%IncrMSE=4.23
NA	NA	NA	p_faith_pd	%IncrMSE=2.09
NA	NA	NA	p_shannon	%IncrMSE=1.95
NA	NA	NA	p_observed_otus	%IncrMSE=1.28
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=0.06
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-0.91
NA	NA	NA	p_inhibRich	%IncrMSE=-0.97
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-1.01
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-1.85
NA	NA	NA	p_chao1	%IncrMSE=-2.17
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-2.33
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-3.75
nop	5.211, 31.36% var explained	1.859	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=4.21
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.36
NA	NA	NA	species	%IncrMSE=3.28
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=3.15
NA	NA	NA	Actinobacteria:f__Nocardioidaceae_sp	%IncrMSE=2.74
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	%IncrMSE=2.72
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=2.59
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	%IncrMSE=2.57
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	%IncrMSE=2.54
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=2.45
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-3	%IncrMSE=2.33
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=2.28
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=2.24
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-26	%IncrMSE=2.21
NA	NA	NA	[Saprospirae]:f__Chitinophagaceae_sp-6	%IncrMSE=2.2
withp	5.069, 33.23% var explained	1.971	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=4.68
NA	NA	NA	species	%IncrMSE=3.19
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=3.15
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	%IncrMSE=2.97
NA	NA	NA	Actinobacteria:f__Nocardioidaceae_sp	%IncrMSE=2.7
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	%IncrMSE=2.67
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=2.58
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	%IncrMSE=2.52
NA	NA	NA	Alphaproteobacteria:Bosea_genosp.	%IncrMSE=2.46
NA	NA	NA	p_percInhib	%IncrMSE=2.3
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=2.22
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=2.2
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-3	%IncrMSE=2.13
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-4	%IncrMSE=2.13
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.12
