Model	Train_set_error_rate	Validation_set_error_rate	Top_importance	MeanDecrAccuracy
onlyp	33.333%	0.714%	p_disper_unweighted_unifrac	MeanDecrAccuracy=7.23
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=4.18
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=2.99
NA	NA	NA	p_shannon	MeanDecrAccuracy=1.11
NA	NA	NA	p_observed_otus	MeanDecrAccuracy=0.51
NA	NA	NA	species	MeanDecrAccuracy=-0.56
NA	NA	NA	p_percInhib	MeanDecrAccuracy=-0.66
NA	NA	NA	p_disper_weighted_unifrac	MeanDecrAccuracy=-0.83
NA	NA	NA	p_dist_weighted_unifrac	MeanDecrAccuracy=-1.05
NA	NA	NA	p_disper_braycurtis	MeanDecrAccuracy=-1.29
NA	NA	NA	p_dist_unweighted_unifrac	MeanDecrAccuracy=-1.63
NA	NA	NA	p_chao1	MeanDecrAccuracy=-1.89
NA	NA	NA	p_dist_braycurtis	MeanDecrAccuracy=-1.95
nop	40%	0.714%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=3.15
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	MeanDecrAccuracy=2.48
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	MeanDecrAccuracy=2.12
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta	MeanDecrAccuracy=2.02
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=1.95
NA	NA	NA	Gammaproteobacteria:g__Halomonas	MeanDecrAccuracy=1.87
NA	NA	NA	Gammaproteobacteria:Acinetobacter_johnsonii	MeanDecrAccuracy=1.77
NA	NA	NA	Bacilli:Alicyclobacillus_sp	MeanDecrAccuracy=1.73
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=1.7
NA	NA	NA	[Saprospirae]:f__Chitinophagaceae_sp-25	MeanDecrAccuracy=1.66
NA	NA	NA	Alphaproteobacteria:g__Ochrobactrum	MeanDecrAccuracy=1.65
NA	NA	NA	Betaproteobacteria:Hydrogenophilus_sp	MeanDecrAccuracy=1.42
NA	NA	NA	Actinobacteria:Corynebacterium_sp-1	MeanDecrAccuracy=1.42
NA	NA	NA	Gammaproteobacteria:Acinetobacter_sp-2	MeanDecrAccuracy=1.42
NA	NA	NA	Flavobacteriia:Myroides_odoratimimus-3	MeanDecrAccuracy=1.41
withp	40%	0.714%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.88
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	MeanDecrAccuracy=2.34
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	MeanDecrAccuracy=2.08
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=1.97
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=1.96
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=1.96
NA	NA	NA	Flavobacteriia:Chryseobacterium_sp-1 (inhibitory)	MeanDecrAccuracy=1.93
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae	MeanDecrAccuracy=1.7
NA	NA	NA	Bacteroidia:Parabacteroides_gordonii-2	MeanDecrAccuracy=1.69
NA	NA	NA	Actinobacteria:Gordonia_sp	MeanDecrAccuracy=1.64
NA	NA	NA	Alphaproteobacteria:Caulobacter_sp	MeanDecrAccuracy=1.42
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-2	MeanDecrAccuracy=1.41
NA	NA	NA	Actinobacteria:Corynebacterium_sp-1	MeanDecrAccuracy=1.41
NA	NA	NA	Alphaproteobacteria:Sphingobium_xenophagum	MeanDecrAccuracy=1.4
NA	NA	NA	Actinobacteria:g__Brevibacterium (inhibitory)	MeanDecrAccuracy=1.4
