Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	7.453, 1.83% var explained	1.433	species	%IncrMSE=10.24
NA	NA	NA	p_percInhib	%IncrMSE=4.23
NA	NA	NA	p_faith_pd	%IncrMSE=2.09
NA	NA	NA	p_shannon	%IncrMSE=1.95
NA	NA	NA	p_observed_otus	%IncrMSE=1.28
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=0.06
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-0.91
NA	NA	NA	p_inhibRich	%IncrMSE=-0.97
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-1.01
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-1.85
NA	NA	NA	p_chao1	%IncrMSE=-2.17
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-2.33
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-3.75
nop	5.193, 31.6% var explained	2.344	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=4.5
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=3.93
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=3.52
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	%IncrMSE=3.22
NA	NA	NA	Actinobacteria:Gordonia_sp	%IncrMSE=2.94
NA	NA	NA	species	%IncrMSE=2.63
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	%IncrMSE=2.62
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.4
NA	NA	NA	[Saprospirae]:f__Chitinophagaceae_sp-6	%IncrMSE=2.3
NA	NA	NA	Actinobacteria:Microbacterium_sp	%IncrMSE=2.12
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae	%IncrMSE=2.07
NA	NA	NA	Alphaproteobacteria:Bosea_genosp.	%IncrMSE=1.91
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	%IncrMSE=1.88
NA	NA	NA	Actinobacteria:o__Actinomycetales-3	%IncrMSE=1.77
NA	NA	NA	Gammaproteobacteria:g__Acinetobacter (inhibitory)	%IncrMSE=1.76
withp	4.983, 34.36% var explained	2.403	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=5.03
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=4.39
NA	NA	NA	Actinobacteria:Gordonia_sp	%IncrMSE=2.94
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	%IncrMSE=2.79
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=2.77
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	%IncrMSE=2.73
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.69
NA	NA	NA	species	%IncrMSE=2.51
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	%IncrMSE=2.5
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=2.39
NA	NA	NA	Gammaproteobacteria:Acinetobacter_rhizosphaerae (inhibitory)	%IncrMSE=2.38
NA	NA	NA	Actinobacteria:Microbacterium_sp	%IncrMSE=2.35
NA	NA	NA	Actinobacteria:f__Nocardioidaceae	%IncrMSE=2.27
NA	NA	NA	Actinobacteria:Rhodococcus_sp	%IncrMSE=2.22
NA	NA	NA	Sphingobacteriia:Pedobacter_sp-2	%IncrMSE=2.14
