Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	7.453, 1.83% var explained	1.433	species	%IncrMSE=10.24
NA	NA	NA	p_percInhib	%IncrMSE=4.23
NA	NA	NA	p_faith_pd	%IncrMSE=2.09
NA	NA	NA	p_shannon	%IncrMSE=1.95
NA	NA	NA	p_observed_otus	%IncrMSE=1.28
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=0.06
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-0.91
NA	NA	NA	p_inhibRich	%IncrMSE=-0.97
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-1.01
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-1.85
NA	NA	NA	p_chao1	%IncrMSE=-2.17
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-2.33
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-3.75
nop	5.082, 33.07% var explained	2.224	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=4.88
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=4.85
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	%IncrMSE=3.39
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=3.06
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	%IncrMSE=3
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=2.78
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	%IncrMSE=2.69
NA	NA	NA	Gammaproteobacteria:g__Halomonas	%IncrMSE=2.49
NA	NA	NA	Actinobacteria:g__Corynebacterium	%IncrMSE=2.3
NA	NA	NA	species	%IncrMSE=2.22
NA	NA	NA	Actinobacteria:f__Microbacteriaceae-1	%IncrMSE=2.21
NA	NA	NA	Bacteroidia:Odoribacter_sp-8	%IncrMSE=2.17
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.11
NA	NA	NA	Alphaproteobacteria:Bosea_genosp.	%IncrMSE=2.03
NA	NA	NA	Actinobacteria:o__Actinomycetales-5	%IncrMSE=2.02
withp	5.028, 33.78% var explained	1.957	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=4.57
NA	NA	NA	species	%IncrMSE=3.32
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=3.3
NA	NA	NA	Actinobacteria:f__Microbacteriaceae-1	%IncrMSE=2.83
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	%IncrMSE=2.81
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	%IncrMSE=2.7
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.6
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=2.6
NA	NA	NA	Actinobacteria:o__Actinomycetales-3	%IncrMSE=2.44
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=2.36
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=2.27
NA	NA	NA	Actinobacteria:f__Nocardioidaceae_sp	%IncrMSE=2.2
NA	NA	NA	Actinobacteria:o__Actinomycetales-5	%IncrMSE=2.11
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	%IncrMSE=2.08
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=2.05
