Model	Train_set_error_rate	Validation_set_error_rate	Top_importance	MeanDecrAccuracy
onlyp	33.333%	0.714%	p_disper_unweighted_unifrac	MeanDecrAccuracy=7.23
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=4.18
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=2.99
NA	NA	NA	p_shannon	MeanDecrAccuracy=1.11
NA	NA	NA	p_observed_otus	MeanDecrAccuracy=0.51
NA	NA	NA	species	MeanDecrAccuracy=-0.56
NA	NA	NA	p_percInhib	MeanDecrAccuracy=-0.66
NA	NA	NA	p_disper_weighted_unifrac	MeanDecrAccuracy=-0.83
NA	NA	NA	p_dist_weighted_unifrac	MeanDecrAccuracy=-1.05
NA	NA	NA	p_disper_braycurtis	MeanDecrAccuracy=-1.29
NA	NA	NA	p_dist_unweighted_unifrac	MeanDecrAccuracy=-1.63
NA	NA	NA	p_chao1	MeanDecrAccuracy=-1.89
NA	NA	NA	p_dist_braycurtis	MeanDecrAccuracy=-1.95
nop	33.333%	0.714%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=3.09
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	MeanDecrAccuracy=2.38
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=2.07
NA	NA	NA	Betaproteobacteria:Achromobacter_sp	MeanDecrAccuracy=1.99
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=1.94
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	MeanDecrAccuracy=1.92
NA	NA	NA	Alphaproteobacteria:g__Ochrobactrum	MeanDecrAccuracy=1.92
NA	NA	NA	Alphaproteobacteria:o__Rhizobiales	MeanDecrAccuracy=1.92
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta	MeanDecrAccuracy=1.74
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-4	MeanDecrAccuracy=1.71
NA	NA	NA	Alphaproteobacteria:f__Sphingomonadaceae-2	MeanDecrAccuracy=1.7
NA	NA	NA	[Saprospirae]:f__Chitinophagaceae_sp-25	MeanDecrAccuracy=1.67
NA	NA	NA	Bacteroidia:f__[Paraprevotellaceae]_sp	MeanDecrAccuracy=1.64
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	MeanDecrAccuracy=1.6
NA	NA	NA	Bacteroidia:f__Porphyromonadaceae	MeanDecrAccuracy=1.55
withp	33.333%	0.857%	p_disper_unweighted_unifrac	MeanDecrAccuracy=3.07
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.93
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=2.8
NA	NA	NA	[Saprospirae]:f__Chitinophagaceae_sp-25	MeanDecrAccuracy=2.19
NA	NA	NA	Gammaproteobacteria:Stenotrophomonas_geniculata	MeanDecrAccuracy=2.1
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=2.09
NA	NA	NA	Alphaproteobacteria:f__Sphingomonadaceae-2	MeanDecrAccuracy=1.95
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	MeanDecrAccuracy=1.94
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	MeanDecrAccuracy=1.92
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=1.87
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta	MeanDecrAccuracy=1.77
NA	NA	NA	Actinobacteria:Gordonia_sp	MeanDecrAccuracy=1.73
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=1.72
NA	NA	NA	Alphaproteobacteria:f__Beijerinckiaceae-1	MeanDecrAccuracy=1.71
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	MeanDecrAccuracy=1.68
