Model	Train_set_error_rate	Validation_set_error_rate	Top_importance	MeanDecrAccuracy
onlyp	33.333%	0.714%	p_disper_unweighted_unifrac	MeanDecrAccuracy=7.23
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=4.18
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=2.99
NA	NA	NA	p_shannon	MeanDecrAccuracy=1.11
NA	NA	NA	p_observed_otus	MeanDecrAccuracy=0.51
NA	NA	NA	species	MeanDecrAccuracy=-0.56
NA	NA	NA	p_percInhib	MeanDecrAccuracy=-0.66
NA	NA	NA	p_disper_weighted_unifrac	MeanDecrAccuracy=-0.83
NA	NA	NA	p_dist_weighted_unifrac	MeanDecrAccuracy=-1.05
NA	NA	NA	p_disper_braycurtis	MeanDecrAccuracy=-1.29
NA	NA	NA	p_dist_unweighted_unifrac	MeanDecrAccuracy=-1.63
NA	NA	NA	p_chao1	MeanDecrAccuracy=-1.89
NA	NA	NA	p_dist_braycurtis	MeanDecrAccuracy=-1.95
nop	40%	0.714%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.45
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=2.44
NA	NA	NA	Bacilli:Alicyclobacillus_sp	MeanDecrAccuracy=2.41
NA	NA	NA	Actinobacteria:o__Actinomycetales-3	MeanDecrAccuracy=1.93
NA	NA	NA	Alphaproteobacteria:Brevundimonas_sp	MeanDecrAccuracy=1.91
NA	NA	NA	Actinobacteria:g__Brevibacterium (inhibitory)	MeanDecrAccuracy=1.84
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=1.8
NA	NA	NA	Gammaproteobacteria:g__Halomonas	MeanDecrAccuracy=1.73
NA	NA	NA	Clostridia:Anaerostipes_sp	MeanDecrAccuracy=1.73
NA	NA	NA	Betaproteobacteria:f__Alcaligenaceae-1	MeanDecrAccuracy=1.73
NA	NA	NA	Alphaproteobacteria:g__Sphingomonas-4	MeanDecrAccuracy=1.72
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	MeanDecrAccuracy=1.7
NA	NA	NA	Gammaproteobacteria:Acinetobacter_johnsonii	MeanDecrAccuracy=1.68
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas (inhibitory)	MeanDecrAccuracy=1.66
NA	NA	NA	Sphingobacteriia:f__Sphingobacteriaceae-2	MeanDecrAccuracy=1.65
withp	40%	0.714%	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=2.37
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	MeanDecrAccuracy=2.36
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.33
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=2.19
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas (inhibitory)	MeanDecrAccuracy=2.14
NA	NA	NA	p_disper_unweighted_unifrac	MeanDecrAccuracy=2.13
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=2.13
NA	NA	NA	Alphaproteobacteria:Caulobacter_sp	MeanDecrAccuracy=1.94
NA	NA	NA	Thermoleophilia:Patulibacter_sp	MeanDecrAccuracy=1.91
NA	NA	NA	Actinobacteria:g__Brevibacterium (inhibitory)	MeanDecrAccuracy=1.91
NA	NA	NA	Betaproteobacteria:Achromobacter_sp	MeanDecrAccuracy=1.85
NA	NA	NA	Sphingobacteriia:Sphingobacterium_mizutaii	MeanDecrAccuracy=1.73
NA	NA	NA	Alphaproteobacteria:f__Sphingomonadaceae-2	MeanDecrAccuracy=1.68
NA	NA	NA	Cytophagia:f__Cytophagaceae	MeanDecrAccuracy=1.68
NA	NA	NA	Bacilli:Alicyclobacillus_sp	MeanDecrAccuracy=1.68
