Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	6.653, 5.78% var explained	0.687	species	%IncrMSE=11.95
NA	NA	NA	p_observed_otus	%IncrMSE=2.83
NA	NA	NA	p_percInhib	%IncrMSE=2.15
NA	NA	NA	p_faith_pd	%IncrMSE=2.07
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=0.55
NA	NA	NA	p_shannon	%IncrMSE=-0.14
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-1.04
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-1.1
NA	NA	NA	p_inhibRich	%IncrMSE=-1.49
NA	NA	NA	p_chao1	%IncrMSE=-1.72
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-1.73
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-2.57
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-2.74
nop	4.82, 31.74% var explained	1.602	Cytophagia:Emticicia_sp	%IncrMSE=4.32
NA	NA	NA	species	%IncrMSE=4.21
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=4.05
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=3.63
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.98
NA	NA	NA	Actinobacteria:f__Microbacteriaceae-1	%IncrMSE=2.92
NA	NA	NA	Actinobacteria:Microbacterium_sp	%IncrMSE=2.86
NA	NA	NA	Bacteroidia:Parabacteroides_sp-7	%IncrMSE=2.63
NA	NA	NA	Actinobacteria:o__Actinomycetales-5	%IncrMSE=2.23
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.23
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-3	%IncrMSE=2.22
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-26	%IncrMSE=2.19
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=2.08
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=2.06
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	%IncrMSE=2.03
withp	5.29, 25.08% var explained	1.585	Cytophagia:Emticicia_sp	%IncrMSE=4.65
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=3.68
NA	NA	NA	species	%IncrMSE=3.64
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-3	%IncrMSE=3.37
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=3.04
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=2.82
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.27
NA	NA	NA	Bacteroidia:Parabacteroides_sp-7	%IncrMSE=2.01
NA	NA	NA	Actinobacteria:f__Nocardioidaceae_sp	%IncrMSE=1.99
NA	NA	NA	Fusobacteriia:Fusobacterium_sp	%IncrMSE=1.9
NA	NA	NA	Actinobacteria:Microbacterium_sp	%IncrMSE=1.88
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-26	%IncrMSE=1.83
NA	NA	NA	Bacteroidia:o__Bacteroidales_sp	%IncrMSE=1.77
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=1.75
NA	NA	NA	Alphaproteobacteria:f__Rhizobiaceae-1 (inhibitory)	%IncrMSE=1.74
