Model	Train_set_error_rate	Validation_set_error_rate	Top_importance	MeanDecrAccuracy
onlyp	23.529%	0.8%	p_disper_unweighted_unifrac	MeanDecrAccuracy=9.7
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=5.36
NA	NA	NA	p_disper_weighted_unifrac	MeanDecrAccuracy=3.65
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=3.21
NA	NA	NA	species	MeanDecrAccuracy=1.73
NA	NA	NA	p_dist_unweighted_unifrac	MeanDecrAccuracy=0.96
NA	NA	NA	p_observed_otus	MeanDecrAccuracy=-0.82
NA	NA	NA	p_disper_braycurtis	MeanDecrAccuracy=-1.09
NA	NA	NA	p_shannon	MeanDecrAccuracy=-1.19
NA	NA	NA	p_dist_braycurtis	MeanDecrAccuracy=-1.62
NA	NA	NA	p_dist_weighted_unifrac	MeanDecrAccuracy=-1.96
NA	NA	NA	p_chao1	MeanDecrAccuracy=-2.28
NA	NA	NA	p_percInhib	MeanDecrAccuracy=-2.46
nop	41.176%	0.8%	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	MeanDecrAccuracy=2.36
NA	NA	NA	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.23
NA	NA	NA	Betaproteobacteria:f__Alcaligenaceae-1	MeanDecrAccuracy=2.16
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae	MeanDecrAccuracy=1.96
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	MeanDecrAccuracy=1.89
NA	NA	NA	Flavobacteriia:Chryseobacterium_sp-1 (inhibitory)	MeanDecrAccuracy=1.83
NA	NA	NA	Gammaproteobacteria:g__Halomonas	MeanDecrAccuracy=1.81
NA	NA	NA	Alphaproteobacteria:g__Ochrobactrum	MeanDecrAccuracy=1.73
NA	NA	NA	Actinobacteria:Corynebacterium_sp-1	MeanDecrAccuracy=1.64
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=1.61
NA	NA	NA	Alphaproteobacteria:g__Paracoccus	MeanDecrAccuracy=1.59
NA	NA	NA	Alphaproteobacteria:Caulobacter_sp	MeanDecrAccuracy=1.58
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	MeanDecrAccuracy=1.49
NA	NA	NA	Sphingobacteriia:f__Sphingobacteriaceae-2	MeanDecrAccuracy=1.42
NA	NA	NA	Bacteroidia:o__Bacteroidales_sp	MeanDecrAccuracy=1.42
withp	41.176%	0.8%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.33
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	MeanDecrAccuracy=2.23
NA	NA	NA	Cytophagia:Emticicia_sp	MeanDecrAccuracy=2.2
NA	NA	NA	Flavobacteriia:Chryseobacterium_sp-1 (inhibitory)	MeanDecrAccuracy=2.19
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=1.93
NA	NA	NA	Betaproteobacteria:f__Alcaligenaceae-1	MeanDecrAccuracy=1.91
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	MeanDecrAccuracy=1.85
NA	NA	NA	Bacteroidia:g__Bacteroides-1	MeanDecrAccuracy=1.79
NA	NA	NA	species	MeanDecrAccuracy=1.74
NA	NA	NA	[Saprospirae]:f__Chitinophagaceae (inhibitory)	MeanDecrAccuracy=1.72
NA	NA	NA	Bacilli:Alicyclobacillus_sp	MeanDecrAccuracy=1.71
NA	NA	NA	p_disper_weighted_unifrac	MeanDecrAccuracy=1.7
NA	NA	NA	Gammaproteobacteria:g__Halomonas	MeanDecrAccuracy=1.7
NA	NA	NA	Bacilli:f__Bacillaceae	MeanDecrAccuracy=1.67
NA	NA	NA	Gammaproteobacteria:Stenotrophomonas_geniculata	MeanDecrAccuracy=1.67
