Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	6.653, 5.78% var explained	0.687	species	%IncrMSE=11.95
NA	NA	NA	p_observed_otus	%IncrMSE=2.83
NA	NA	NA	p_percInhib	%IncrMSE=2.15
NA	NA	NA	p_faith_pd	%IncrMSE=2.07
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=0.55
NA	NA	NA	p_shannon	%IncrMSE=-0.14
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-1.04
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-1.1
NA	NA	NA	p_inhibRich	%IncrMSE=-1.49
NA	NA	NA	p_chao1	%IncrMSE=-1.72
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-1.73
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-2.57
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-2.74
nop	5.475, 22.46% var explained	2.139	species	%IncrMSE=4.66
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=3.81
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=3.64
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=3.29
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=2.79
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.38
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.38
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-7 (inhibitory)	%IncrMSE=2.33
NA	NA	NA	Gammaproteobacteria:Acinetobacter_rhizosphaerae (inhibitory)	%IncrMSE=2.29
NA	NA	NA	Bacilli:f__Bacillaceae	%IncrMSE=2.15
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	%IncrMSE=2.14
NA	NA	NA	Alphaproteobacteria:g__Paracoccus-1	%IncrMSE=2.12
NA	NA	NA	Actinobacteria:f__Microbacteriaceae-1	%IncrMSE=2.02
NA	NA	NA	Actinobacteria:Microbacterium_sp	%IncrMSE=1.97
NA	NA	NA	Flavobacteriia:Flavobacterium_succinicans-2 (inhibitory)	%IncrMSE=1.96
withp	5.362, 24.05% var explained	1.882	species	%IncrMSE=3.99
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=3.72
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=3.51
NA	NA	NA	Cytophagia:Emticicia_sp	%IncrMSE=3.42
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=3.09
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.5
NA	NA	NA	Alphaproteobacteria:o__Rhizobiales-3	%IncrMSE=2.47
NA	NA	NA	Sphingobacteriia:Pedobacter_sp-2	%IncrMSE=2.4
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	%IncrMSE=2.33
NA	NA	NA	Bacteroidia:g__Bacteroides-16	%IncrMSE=2.3
NA	NA	NA	Actinobacteria:Rhodococcus_sp	%IncrMSE=2.19
NA	NA	NA	Actinobacteria:f__Nocardioidaceae	%IncrMSE=2.12
NA	NA	NA	Alphaproteobacteria:Caulobacter_sp	%IncrMSE=2.11
NA	NA	NA	[Saprospirae]:f__Chitinophagaceae_sp-6	%IncrMSE=2.1
NA	NA	NA	Gammaproteobacteria:Perlucidibaca_sp	%IncrMSE=1.99
