Model	Train_set_error_rate	Validation_set_error_rate	Top_importance	MeanDecrAccuracy
onlyp	23.529%	0.8%	p_disper_unweighted_unifrac	MeanDecrAccuracy=9.7
NA	NA	NA	p_faith_pd	MeanDecrAccuracy=5.36
NA	NA	NA	p_disper_weighted_unifrac	MeanDecrAccuracy=3.65
NA	NA	NA	p_inhibRich	MeanDecrAccuracy=3.21
NA	NA	NA	species	MeanDecrAccuracy=1.73
NA	NA	NA	p_dist_unweighted_unifrac	MeanDecrAccuracy=0.96
NA	NA	NA	p_observed_otus	MeanDecrAccuracy=-0.82
NA	NA	NA	p_disper_braycurtis	MeanDecrAccuracy=-1.09
NA	NA	NA	p_shannon	MeanDecrAccuracy=-1.19
NA	NA	NA	p_dist_braycurtis	MeanDecrAccuracy=-1.62
NA	NA	NA	p_dist_weighted_unifrac	MeanDecrAccuracy=-1.96
NA	NA	NA	p_chao1	MeanDecrAccuracy=-2.28
NA	NA	NA	p_percInhib	MeanDecrAccuracy=-2.46
nop	41.176%	0.8%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.74
NA	NA	NA	Gammaproteobacteria:g__Halomonas	MeanDecrAccuracy=2.43
NA	NA	NA	Bacilli:g__Staphylococcus	MeanDecrAccuracy=2.23
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	MeanDecrAccuracy=2.21
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	MeanDecrAccuracy=2.18
NA	NA	NA	Actinobacteria:g__Corynebacterium	MeanDecrAccuracy=1.74
NA	NA	NA	Bacteroidia:g__Bacteroides-15	MeanDecrAccuracy=1.74
NA	NA	NA	Gammaproteobacteria:Acinetobacter_sp-1	MeanDecrAccuracy=1.73
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	MeanDecrAccuracy=1.71
NA	NA	NA	Deltaproteobacteria:Bdellovibrio_sp	MeanDecrAccuracy=1.7
NA	NA	NA	Clostridia:g__Clostridium-18	MeanDecrAccuracy=1.7
NA	NA	NA	Bacilli:Alicyclobacillus_sp	MeanDecrAccuracy=1.69
NA	NA	NA	Betaproteobacteria:Achromobacter_sp	MeanDecrAccuracy=1.64
NA	NA	NA	Sphingobacteriia:f__Sphingobacteriaceae-2	MeanDecrAccuracy=1.62
NA	NA	NA	Betaproteobacteria:f__Alcaligenaceae-1	MeanDecrAccuracy=1.6
withp	41.176%	0.8%	Gammaproteobacteria:Pseudomonas_alcaligenes (inhibitory)	MeanDecrAccuracy=2.62
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	MeanDecrAccuracy=2.54
NA	NA	NA	p_disper_unweighted_unifrac	MeanDecrAccuracy=2.27
NA	NA	NA	Gammaproteobacteria:Stenotrophomonas_geniculata	MeanDecrAccuracy=2.2
NA	NA	NA	Betaproteobacteria:Comamonas_sp (inhibitory)	MeanDecrAccuracy=2
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta	MeanDecrAccuracy=1.96
NA	NA	NA	Betaproteobacteria:Rubrivivax_sp	MeanDecrAccuracy=1.95
NA	NA	NA	Flavobacteriia:Chryseobacterium_sp-1 (inhibitory)	MeanDecrAccuracy=1.94
NA	NA	NA	Alphaproteobacteria:Brevundimonas_sp	MeanDecrAccuracy=1.65
NA	NA	NA	Actinobacteria:Leucobacter_sp	MeanDecrAccuracy=1.54
NA	NA	NA	Alphaproteobacteria:Brevundimonas_diminuta-1 (inhibitory)	MeanDecrAccuracy=1.42
NA	NA	NA	Bacteroidia:Parabacteroides_gordonii-2	MeanDecrAccuracy=1.42
NA	NA	NA	Alphaproteobacteria:g__Novosphingobium-2 (inhibitory)	MeanDecrAccuracy=1.41
NA	NA	NA	Gammaproteobacteria:f__Enterobacteriaceae-2 (inhibitory)	MeanDecrAccuracy=1.41
NA	NA	NA	p__Actinobacteria	MeanDecrAccuracy=1.41
