Model	Train_set_MSE	Validation_set_MSE	Top_importance	IncrMSE
onlyp	6.653, 5.78% var explained	0.687	species	%IncrMSE=11.95
NA	NA	NA	p_observed_otus	%IncrMSE=2.83
NA	NA	NA	p_percInhib	%IncrMSE=2.15
NA	NA	NA	p_faith_pd	%IncrMSE=2.07
NA	NA	NA	p_disper_unweighted_unifrac	%IncrMSE=0.55
NA	NA	NA	p_shannon	%IncrMSE=-0.14
NA	NA	NA	p_disper_weighted_unifrac	%IncrMSE=-1.04
NA	NA	NA	p_dist_unweighted_unifrac	%IncrMSE=-1.1
NA	NA	NA	p_inhibRich	%IncrMSE=-1.49
NA	NA	NA	p_chao1	%IncrMSE=-1.72
NA	NA	NA	p_dist_braycurtis	%IncrMSE=-1.73
NA	NA	NA	p_dist_weighted_unifrac	%IncrMSE=-2.57
NA	NA	NA	p_disper_braycurtis	%IncrMSE=-2.74
nop	5.202, 26.31% var explained	2.038	Cytophagia:Emticicia_sp	%IncrMSE=4.42
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=4.22
NA	NA	NA	species	%IncrMSE=4.06
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=3.13
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.79
NA	NA	NA	Actinobacteria:o__Actinomycetales-3	%IncrMSE=2.69
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=2.56
NA	NA	NA	Alphaproteobacteria:Devosia_sp-4	%IncrMSE=2.42
NA	NA	NA	Actinobacteria:f__Microbacteriaceae-1	%IncrMSE=2.12
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	%IncrMSE=2.07
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-26	%IncrMSE=1.95
NA	NA	NA	Actinobacteria:o__Actinomycetales-5	%IncrMSE=1.9
NA	NA	NA	Thermoleophilia:Patulibacter_sp	%IncrMSE=1.85
NA	NA	NA	Bacteroidia:g__Bacteroides-1	%IncrMSE=1.72
NA	NA	NA	Bacteroidia:g__Bacteroides-16	%IncrMSE=1.66
withp	5.024, 28.85% var explained	1.83	Cytophagia:Emticicia_sp	%IncrMSE=5.15
NA	NA	NA	species	%IncrMSE=3.88
NA	NA	NA	Gammaproteobacteria:Azorhizophilus_sp (inhibitory)	%IncrMSE=3.55
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-18 (inhibitory)	%IncrMSE=3.41
NA	NA	NA	Actinobacteria:Leucobacter_sp	%IncrMSE=2.93
NA	NA	NA	Betaproteobacteria:f__Comamonadaceae-26	%IncrMSE=2.68
NA	NA	NA	Alphaproteobacteria:o__Rhizobiales-3	%IncrMSE=2.51
NA	NA	NA	Actinobacteria:o__Actinomycetales-4	%IncrMSE=2.49
NA	NA	NA	Gammaproteobacteria:g__Pseudomonas-3 (inhibitory)	%IncrMSE=2.49
NA	NA	NA	Flavobacteriia:Flavobacterium_succinicans-2 (inhibitory)	%IncrMSE=2.47
NA	NA	NA	Actinobacteria:f__Microbacteriaceae-1	%IncrMSE=2.45
NA	NA	NA	Actinobacteria:f__Nocardioidaceae	%IncrMSE=2.37
NA	NA	NA	p_percInhib	%IncrMSE=2.26
NA	NA	NA	Cytophagia:Dyadobacter_sp	%IncrMSE=1.95
NA	NA	NA	Actinobacteria:f__Nocardioidaceae_sp	%IncrMSE=1.93
