	Df	SumOfSqs	R2	F	Pr(>F)
species	4	625.584701095961	0.421950635919697	83.8433348551321	0.001
time	1	92.4860811839746	0.0623809385058998	49.5814009553756	0.001
PABD	1	8.29967679204412	0.00559804914377818	4.44942198391761	0.001
indivID	17	182.990224899513	0.123425079974253	5.7706055018091	0.001
species:time	4	63.8868595005297	0.0430910489753582	8.56236948339955	0.001
species:PABD	3	6.42056986539478	0.0043306102801491	1.1473468756338	0.237
time:PABD	1	4.96384478275013	0.00334806375382701	2.66109640827153	0.016
species:time:PABD	2	3.6550502168019	0.00246529488428365	0.979728560186246	0.455
Residual	265	494.314622852463	0.333410278562755	NA	NA
Total	298	1482.60163118943	1	NA	NA
