	Df	SumOfSqs	R2	F	Pr(>F)
species	4	155.288528196475	0.325394686820423	44.9965736709554	0.001
time	1	24.032885834879	0.050358989491723	27.8551810762629	0.001
PABD	1	1.13205411597781	0.00237212882890039	1.3121009522263	0.192
indivID	17	43.1588855198815	0.0904359916367544	2.94253313971496	0.001
species:time	4	18.3296486089766	0.0384083121780899	5.31121901646862	0.001
species:PABD	3	2.78926479354649	0.00584468121693418	1.07762722057461	0.341
time:PABD	1	2.24761536929708	0.00470969818362792	2.60508594480564	0.015
species:time:PABD	2	1.61578324111596	0.00338574450939094	0.936382236209769	0.501
Residual	265	228.636630607657	0.479089767134157	NA	NA
Total	298	477.231296287807	1	NA	NA
