	Df	SumOfSqs	R2	F	Pr(>F)
species	4	246.60323577993	0.245322609240451	30.4249841490104	0.001
time	1	43.609631674018	0.0433831640385792	21.521572468096	0.001
PABD	1	4.89463984549508	0.00486922166447443	2.41552937038019	0.043
indivID	17	123.19101770284	0.122551278787019	3.57619920880346	0.001
species:time	4	30.3222028081471	0.0301647376494732	3.74103988085642	0.001
species:PABD	3	7.68770113387495	0.00764777840508964	1.26463971921389	0.216
time:PABD	1	2.72693193548952	0.00271277080172785	1.34575461916062	0.245
species:time:PABD	2	9.20953283400451	0.00916170713485612	2.27247537614981	0.034
Residual	265	536.975279605913	0.53418673227833	NA	NA
Total	298	1005.22017331971	1	NA	NA
